affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000070384,"",2022,N00047888,Alex Padilla (D),Hueston Hennigan Llp,135400,0,135400,1,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000000461,"",2022,N00047888,Alex Padilla (D),Comcast Corp,69700,10000,79700,2,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000032895,"",2022,N00047888,Alex Padilla (D),"Cotchett, Pitre & McCarthy",71950,0,71950,3,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000000239,"",2022,N00047888,Alex Padilla (D),Edison International,56840,15000,71840,4,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000000621,"",2022,N00047888,Alex Padilla (D),Gallo Winery,63475,0,63475,5,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000033285,"",2022,N00047888,Alex Padilla (D),"Dreyer, Babich et al                              ",41600,0,41600,6,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000063612,"",2022,N00047888,Alex Padilla (D),Sv Angel LLC,40600,0,40600,7,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000063162,"",2022,N00047888,Alex Padilla (D),"Robbins, Geller et al                   ",38450,0,38450,8,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000000333,"",2022,N00047888,Alex Padilla (D),"Kleiner, Perkins et al",37600,0,37600,9,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000034986,"",2022,N00047888,Alex Padilla (D),Kaiser Permanente,35200,0,35200,10,I,2022-10-28 00:00:00 +0000,11641638.67
"","","",2022,N00047888,Alex Padilla (D),Parkia Inc,34800,0,34800,11,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000067782,"",2022,N00047888,Alex Padilla (D),Lyft Inc,29100,5000,34100,12,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000000109,"",2022,N00047888,Alex Padilla (D),Blue Cross/Blue Shield,18633,15000,33633,13,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000025328,"",2022,N00047888,Alex Padilla (D),Democracy Engine,30905,0,30905,14,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000068058,"",2022,N00047888,Alex Padilla (D),Airbnb Inc,28200,2500,30700,15,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000000317,"",2022,N00047888,Alex Padilla (D),General Atomics,20400,10000,30400,16,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000053441,"",2022,N00047888,Alex Padilla (D),Masimo Corp,24200,5634,29834,17,I,2022-10-28 00:00:00 +0000,11641638.67
"","","",2022,N00047888,Alex Padilla (D),Advanced Nutrients,29000,0,29000,18,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000060545,"",2022,N00047888,Alex Padilla (D),Capitol Advocacy,28500,0,28500,19,I,2022-10-28 00:00:00 +0000,11641638.67
"",D000053134,"",2022,N00047888,Alex Padilla (D),Live Nation Entertainment,28200,0,28200,20,I,2022-10-28 00:00:00 +0000,11641638.67
"","","",2022,N00049025,Mark Meuser (R),Bigger & Harman                                   ,12099,0,12099,1,C,2022-10-28 00:00:00 +0000,948966.1
"","","",2022,N00049025,Mark Meuser (R),Geragos & Geragos,5800,0,5800,2,C,2022-10-28 00:00:00 +0000,948966.1
"",D000052540,"",2022,N00049025,Mark Meuser (R),Jelly Belly Candy,5800,0,5800,3,C,2022-10-28 00:00:00 +0000,948966.1
"",D000053957,"",2022,N00049025,Mark Meuser (R),Morning Star Co,5800,0,5800,4,C,2022-10-28 00:00:00 +0000,948966.1
