affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2020,N00030780,Cory Gardner (R),Votesane PAC,124600,0,124600,1,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000021845,"",2020,N00030780,Cory Gardner (R),Apollo Global Management,52461,12500,64961,2,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000022003,"",2020,N00030780,Cory Gardner (R),GEO Group,55979,0,55979,3,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000000109,"",2020,N00030780,Cory Gardner (R),Blue Cross/Blue Shield,35765,16000,51765,4,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000021873,"",2020,N00030780,Cory Gardner (R),Blackstone Group,50788,0,50788,5,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000021972,"",2020,N00030780,Cory Gardner (R),Elliott Management,44700,0,44700,6,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000021679,"",2020,N00030780,Cory Gardner (R),BGR Group,36300,6366,42666,7,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000000321,"",2020,N00030780,Cory Gardner (R),NextEra Energy,29554,5000,34554,8,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000000724,"",2020,N00030780,Cory Gardner (R),"Brownstein, Hyatt et al",26413,8000,34413,9,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000000769,"",2020,N00030780,Cory Gardner (R),"Paul, Weiss et al",34275,0,34275,10,I,2021-03-22 00:00:00 +0000,28075080.77
"","","",2020,N00030780,Cory Gardner (R),Lmbi Lp,33600,0,33600,11,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000029689,"",2020,N00030780,Cory Gardner (R),Visa Inc,23105,10000,33105,12,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000000535,"",2020,N00030780,Cory Gardner (R),DISH Network,31562,0,31562,13,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000000131,"",2020,N00030780,Cory Gardner (R),Deloitte LLP,20548,10000,30548,14,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000066716,"",2020,N00030780,Cory Gardner (R),Rock Holdings,29645,0,29645,15,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000057934,"",2020,N00030780,Cory Gardner (R),United Launch Alliance,28700,0,28700,16,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000022329,"",2020,N00030780,Cory Gardner (R),Xcel Energy,24093,4500,28593,17,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000000090,"",2020,N00030780,Cory Gardner (R),Bank of America,18224,10000,28224,18,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000000461,"",2020,N00030780,Cory Gardner (R),Comcast Corp,16750,10000,26750,19,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000022158,"",2020,N00030780,Cory Gardner (R),NorPAC,26550,0,26550,20,I,2021-03-22 00:00:00 +0000,28075080.77
"",D000067823,"",2020,N00044206,John Hickenlooper (D),Alphabet Inc,256481,0,256481,1,C,2021-03-22 00:00:00 +0000,43012517.529999994
"",D000025328,"",2020,N00044206,John Hickenlooper (D),Democracy Engine,238166,0,238166,2,C,2021-03-22 00:00:00 +0000,43012517.529999994
"",D000030653,"",2020,N00044206,John Hickenlooper (D),University of Colorado                  ,176333,0,176333,3,C,2021-03-22 00:00:00 +0000,43012517.529999994
"",D000000406,"",2020,N00044206,John Hickenlooper (D),University of California                ,172769,0,172769,4,C,2021-03-22 00:00:00 +0000,43012517.529999994
"",D000052457,"",2020,N00044206,John Hickenlooper (D),J Street,159825,85,159910,5,C,2021-03-22 00:00:00 +0000,43012517.529999994
"",D000000115,"",2020,N00044206,John Hickenlooper (D),Microsoft Corp,119505,0,119505,6,C,2021-03-22 00:00:00 +0000,43012517.529999994
