affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000769,"",2018,N00027566,Christopher S Murphy (D),"Paul, Weiss et al",151505,0,151505,1,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000022331,"",2018,N00027566,Christopher S Murphy (D),Yale University,97687,0,97687,2,I,2019-06-10 00:00:00 +0000,15032337.71
D000026918,D000052457,"",2018,N00027566,Christopher S Murphy (D),JStreetPAC,61405,0,61405,3,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000000103,"",2018,N00027566,Christopher S Murphy (D),JPMorgan Chase & Co                     ,46243,2500,48743,4,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000000464,"",2018,N00027566,Christopher S Murphy (D),Sullivan & Cromwell,42995,0,42995,5,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000000106,"",2018,N00027566,Christopher S Murphy (D),Morgan Stanley,24960,8500,33460,6,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000022082,"",2018,N00027566,Christopher S Murphy (D),"Lieff, Cabraser et al",31718,0,31718,7,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000000672,"",2018,N00027566,Christopher S Murphy (D),Charter Communications,20938,10000,30938,8,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000000085,"",2018,N00027566,Christopher S Murphy (D),Goldman Sachs,19635,10000,29635,9,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000022252,"",2018,N00027566,Christopher S Murphy (D),Simmons Hanly Conroy,27700,0,27700,10,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000000071,"",2018,N00027566,Christopher S Murphy (D),Citigroup Inc,18774,8500,27274,11,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000000162,"",2018,N00027566,Christopher S Murphy (D),"Akin, Gump et al",21610,3500,25110,12,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000000125,"",2018,N00027566,Christopher S Murphy (D),General Electric,16805,8000,24805,13,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000022192,"",2018,N00027566,Christopher S Murphy (D),Pitney Bowes Inc,14045,10000,24045,14,I,2019-06-10 00:00:00 +0000,15032337.71
D000000209,D000072615,"",2018,N00027566,Christopher S Murphy (D),United Technologies,13760,10000,23760,15,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000000296,"",2018,N00027566,Christopher S Murphy (D),Aetna Inc,12617,10000,22617,16,I,2019-06-10 00:00:00 +0000,15032337.71
"",D000031442,"",2018,N00027566,Christopher S Murphy (D),Alternative Investment Group,22400,0,22400,17,I,2019-06-10 00:00:00 +0000,15032337.71
