affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000172,"",2018,N00012508,Tom Carper (D),MetLife Inc,49200,10000,59200,1,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000025328,"",2018,N00012508,Tom Carper (D),Democracy Engine,49249,0,49249,2,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000069022,"",2018,N00012508,Tom Carper (D),DowDuPont,21200,9000,30200,3,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000085,"",2018,N00012508,Tom Carper (D),Goldman Sachs,18725,10000,28725,4,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000018253,"",2018,N00012508,Tom Carper (D),Discover Financial Services,18500,10000,28500,5,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000275,"",2018,N00012508,Tom Carper (D),Merck & Co,13155,10000,23155,6,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000103,"",2018,N00012508,Tom Carper (D),JPMorgan Chase & Co,13875,7500,21375,7,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000333,"",2018,N00012508,Tom Carper (D),"Kleiner, Perkins et al",18900,0,18900,8,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000031196,"",2018,N00012508,Tom Carper (D),"Young, Conaway et al",18690,0,18690,9,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000474,"",2018,N00012508,Tom Carper (D),Hallmark Cards,13500,5000,18500,10,I,2019-06-10 00:00:00 +0000,4262960.7
"","","",2018,N00012508,Tom Carper (D),Bowles & Co,18300,0,18300,11,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000550,"",2018,N00012508,Tom Carper (D),King & Spalding,11110,5000,16110,12,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000138,"",2018,N00012508,Tom Carper (D),Pfizer Inc,5800,10000,15800,13,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000391,"",2018,N00012508,Tom Carper (D),Amgen Inc,5400,10000,15400,14,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000288,"",2018,N00012508,Tom Carper (D),League of Conservation Voters,5400,10000,15400,14,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000019743,"",2018,N00012508,Tom Carper (D),Wells Fargo,5100,10000,15100,16,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000249,"",2018,N00012508,Tom Carper (D),New York Life Insurance,5000,10000,15000,17,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000029689,"",2018,N00012508,Tom Carper (D),Visa Inc,5000,10000,15000,17,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000402,"",2018,N00012508,Tom Carper (D),"Welsh, Carson et al",14600,0,14600,19,I,2019-06-10 00:00:00 +0000,4262960.7
"",D000000090,"",2018,N00012508,Tom Carper (D),Bank of America,4528,10000,14528,20,I,2019-06-10 00:00:00 +0000,4262960.7
"","","",2018,N00043394,Rob Arlett (R),Insight Homes,16200,0,16200,1,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Maes,16200,0,16200,1,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Neuberger Law,16200,0,16200,1,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Hudson Management,12800,0,12800,4,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Greggo & Ferrara,10800,0,10800,5,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Republican State Cmte of Delaware,0,10440,10440,6,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Dyer McCrea Ventures,5400,0,5400,7,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Tunnell Companies,5400,0,5400,7,C,2019-06-10 00:00:00 +0000,201202.0
"",D000036023,"",2018,N00043394,Rob Arlett (R),Mosbacher Energy,3400,0,3400,9,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),American Principles Project,2700,0,2700,10,C,2019-06-10 00:00:00 +0000,201202.0
"",D000037207,"",2018,N00043394,Rob Arlett (R),Rollins Jamaica,2700,0,2700,10,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Winner,2700,0,2700,10,C,2019-06-10 00:00:00 +0000,201202.0
"",D000037717,"",2018,N00043394,Rob Arlett (R),Spencer Enterprises,2529,0,2529,13,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Golden Hospitality Group,2500,0,2500,14,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Jim Parker Builders,2400,0,2400,15,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Hodgkins & Assoc,2000,0,2000,16,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),United Agent Services,2000,0,2000,16,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Mica Mosbacher Interests LLC,1700,0,1700,18,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Indian River School District,1529,0,1529,19,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Onsite Construcion,1500,0,1500,20,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043394,Rob Arlett (R),Trinity Logistics,1500,0,1500,20,C,2019-06-10 00:00:00 +0000,201202.0
"","","",2018,N00043483,Demitri George Theodoropoulos (3),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043565,Nadine Frost (L),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
