affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2018,N00009926,Bill Nelson (D),Democracy Engine,213174,0,213174,1,I,2019-06-10 00:00:00 +0000,33628769.16
D000000395,D000071910,"",2018,N00009926,Bill Nelson (D),Harris Corp,98135,10000,108135,2,I,2019-06-10 00:00:00 +0000,33628769.16
D000022008,D000067823,"",2018,N00009926,Bill Nelson (D),Google Inc,68140,10000,78140,3,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000288,"",2018,N00009926,Bill Nelson (D),League of Conservation Voters,64550,6939,71489,4,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000030657,"",2018,N00009926,Bill Nelson (D),University of Florida,60484,0,60484,5,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000021811,"",2018,N00009926,Bill Nelson (D),Akerman LLP,49069,10000,59069,6,I,2019-06-10 00:00:00 +0000,33628769.16
D000000157,D000067697,"",2018,N00009926,Bill Nelson (D),American Airlines,37661,9500,47161,7,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000027198,"",2018,N00009926,Bill Nelson (D),Leon Medical Centers,46600,0,46600,8,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000461,"",2018,N00009926,Bill Nelson (D),Comcast Corp,35878,10000,45878,9,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000350,"",2018,N00009926,Bill Nelson (D),Delta Air Lines,31372,10000,41372,10,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000344,"",2018,N00009926,Bill Nelson (D),Greenberg Traurig LLP,35316,5000,40316,11,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000100,"",2018,N00009926,Bill Nelson (D),Boeing Co,29118,10000,39118,12,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000021873,"",2018,N00009926,Bill Nelson (D),Blackstone Group,37737,0,37737,13,I,2019-06-10 00:00:00 +0000,33628769.16
"","",C00340943,2018,N00009926,Bill Nelson (D),DaVita Inc,26202,10000,36202,14,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000769,"",2018,N00009926,Bill Nelson (D),"Paul, Weiss et al",35436,0,35436,15,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000330,"",2018,N00009926,Bill Nelson (D),Holland & Knight,27820,7500,35320,16,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000031918,"",2018,N00009926,Bill Nelson (D),Berger Singerman PA,35096,0,35096,17,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000115,"",2018,N00009926,Bill Nelson (D),Microsoft Corp,24890,10000,34890,18,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000672,"",2018,N00009926,Bill Nelson (D),Charter Communications,26518,8000,34518,19,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000148,"",2018,N00009926,Bill Nelson (D),CSX Corp,24193,10000,34193,20,I,2019-06-10 00:00:00 +0000,33628769.16
"",D000000763,"",2018,N00043290,Rick Scott (R),Club for Growth,167674,0,167674,1,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000022280,"",2018,N00043290,Rick Scott (R),The Villages,125950,0,125950,2,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000022003,"",2018,N00043290,Rick Scott (R),GEO Group,65400,10000,75400,3,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000000321,"",2018,N00043290,Rick Scott (R),Nextera Energy,64600,0,64600,4,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000000419,"",2018,N00043290,Rick Scott (R),Home Depot,45600,10000,55600,5,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000000659,"",2018,N00043290,Rick Scott (R),State Farm Insurance,37901,0,37901,6,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000053035,"",2018,N00043290,Rick Scott (R),Lewis Bear Co                                     ,37800,0,37800,7,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000000344,"",2018,N00043290,Rick Scott (R),Greenberg Traurig LLP,31100,0,31100,8,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000051141,"",2018,N00043290,Rick Scott (R),Full Sail,27750,0,27750,9,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000028612,"",2018,N00043290,Rick Scott (R),Republican Jewish Coalition,17490,10000,27490,10,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000000445,"",2018,N00043290,Rick Scott (R),HCA Inc,14801,10000,24801,11,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000060975,"",2018,N00043290,Rick Scott (R),Dex Imaging,24300,0,24300,12,C,2019-06-10 00:00:00 +0000,85000301.37
D000019843,D000066714,"",2018,N00043290,Rick Scott (R),Florida Crystals,24300,0,24300,12,C,2019-06-10 00:00:00 +0000,85000301.37
D000000209,D000072615,"",2018,N00043290,Rick Scott (R),United Technologies,18750,5000,23750,14,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000037793,"",2018,N00043290,Rick Scott (R),State of Florida,22100,0,22100,15,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000044871,"",2018,N00043290,Rick Scott (R),GL Homes of Florida,21600,0,21600,16,C,2019-06-10 00:00:00 +0000,85000301.37
"","","",2018,N00043290,Rick Scott (R),Covelli Enterprises,20800,0,20800,17,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000037311,"",2018,N00043290,Rick Scott (R),Ryan LLC,10800,10000,20800,17,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000021679,"",2018,N00043290,Rick Scott (R),BGR Group,14100,6210,20310,19,C,2019-06-10 00:00:00 +0000,85000301.37
"",D000021811,"",2018,N00043290,Rick Scott (R),Akerman LLP,19750,0,19750,20,C,2019-06-10 00:00:00 +0000,85000301.37
