affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000067823,"",2022,N00046489,Raphael Warnock (D),Alphabet Inc,302756,0,302756,1,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000000406,"",2022,N00046489,Raphael Warnock (D),University of California                ,283753,0,283753,2,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000052457,"",2022,N00046489,Raphael Warnock (D),J Street,169083,0,169083,3,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000033433,"",2022,N00046489,Raphael Warnock (D),Emory University,128596,0,128596,4,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000000115,"",2022,N00046489,Raphael Warnock (D),Microsoft Corp,125471,0,125471,5,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000021754,"",2022,N00046489,Raphael Warnock (D),Apple Inc,102508,0,102508,6,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000000750,"",2022,N00046489,Raphael Warnock (D),Stanford University,98719,0,98719,7,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000025328,"",2022,N00046489,Raphael Warnock (D),Democracy Engine,95955,0,95955,8,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000034986,"",2022,N00046489,Raphael Warnock (D),Kaiser Permanente,91419,0,91419,9,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000022300,"",2022,N00046489,Raphael Warnock (D),US Government,89171,0,89171,10,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000030723,"",2022,N00046489,Raphael Warnock (D),US Dept of Health & Human Services      ,87828,0,87828,11,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000023883,"",2022,N00046489,Raphael Warnock (D),Amazon.com,86234,0,86234,12,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000000769,"",2022,N00046489,Raphael Warnock (D),"Paul, Weiss et al                       ",80716,0,80716,13,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000000720,"",2022,N00046489,Raphael Warnock (D),IBM Corp                                ,72483,0,72483,14,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000022322,"",2022,N00046489,Raphael Warnock (D),Wilmerhale Llp,68609,0,68609,15,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000021927,"",2022,N00046489,Raphael Warnock (D),Columbia University,66150,0,66150,16,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000022297,"",2022,N00046489,Raphael Warnock (D),University of Washington,65980,0,65980,17,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000030667,"",2022,N00046489,Raphael Warnock (D),University of Maryland,65334,0,65334,18,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000000461,"",2022,N00046489,Raphael Warnock (D),Comcast Corp,63199,0,63199,19,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000000812,"",2022,N00046489,Raphael Warnock (D),State of California                     ,62499,0,62499,20,I,2022-10-28 00:00:00 +0000,98654186.16
"",D000028985,"",2022,N00049229,Herschel Walker (R),Senate Conservatives Fund,42082,5000,47082,1,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Cks Packaging,38900,0,38900,2,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Teramore Development,30000,0,30000,3,C,2022-10-28 00:00:00 +0000,37485371.2
"",D000021679,"",2022,N00049229,Herschel Walker (R),BGR Group,29850,0,29850,4,C,2022-10-28 00:00:00 +0000,37485371.2
"",D000024173,"",2022,N00049229,Herschel Walker (R),Association of KFC Franchisees,18400,10000,28400,5,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Textile Management Assoc,26800,0,26800,6,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Newtown Athletic Club,26750,0,26750,7,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Pollard Lumber,24500,0,24500,8,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Aviation Development Group,23400,0,23400,9,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),National Fitness Partners,23200,0,23200,10,C,2022-10-28 00:00:00 +0000,37485371.2
"",D000061852,"",2022,N00049229,Herschel Walker (R),Island Doctors,23000,0,23000,11,C,2022-10-28 00:00:00 +0000,37485371.2
"",D000019743,"",2022,N00049229,Herschel Walker (R),Wells Fargo,18788,0,18788,12,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Tenex                                             ,17500,0,17500,13,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Jones Co,17400,0,17400,14,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Kbp Brands,17400,0,17400,15,C,2022-10-28 00:00:00 +0000,37485371.2
"",D000060692,"",2022,N00049229,Herschel Walker (R),Classic Chevrolet,17400,0,17400,16,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Clinical Research Consultant                      ,17400,0,17400,17,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Cooper Steel,17400,0,17400,18,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00049229,Herschel Walker (R),Fiber Optic Construction,17400,0,17400,19,C,2022-10-28 00:00:00 +0000,37485371.2
"",D000000090,"",2022,N00049229,Herschel Walker (R),Bank of America,16900,0,16900,20,C,2022-10-28 00:00:00 +0000,37485371.2
"","","",2022,N00047389,Chase Oliver (L),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,7790.0
