affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000348,"",2022,N00006267,Mike Crapo (R),UnitedHealth Group,92100,2500,94600,1,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000021845,"",2022,N00006267,Mike Crapo (R),Apollo Global Management,70250,10000,80250,2,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000032285,"",2022,N00006267,Mike Crapo (R),Capital Group,45000,0,45000,3,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000021872,"",2022,N00006267,Mike Crapo (R),BlackRock Inc,39300,0,39300,4,I,2022-10-28 00:00:00 +0000,7107989.15
"","",C00699470,2022,N00006267,Mike Crapo (R),Pro-Israel America PAC,37710,0,37710,5,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000000109,"",2022,N00006267,Mike Crapo (R),Blue Cross/Blue Shield,20300,16000,36300,6,I,2022-10-28 00:00:00 +0000,7107989.15
"","",C00797670,2022,N00006267,Mike Crapo (R),American Israel Public Affairs Cmte,24800,7900,32700,7,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000000350,"",2022,N00006267,Mike Crapo (R),Delta Air Lines,24900,7500,32400,8,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000022158,"",2022,N00006267,Mike Crapo (R),NorPAC,29300,0,29300,9,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000021873,"",2022,N00006267,Mike Crapo (R),Blackstone Group,25700,0,25700,10,I,2022-10-28 00:00:00 +0000,7107989.15
"","","",2022,N00006267,Mike Crapo (R),Energy Transfer LP,16922,7500,24422,11,I,2022-10-28 00:00:00 +0000,7107989.15
"","","",2022,N00006267,Mike Crapo (R),Illumina Inc,13800,7200,21000,12,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000000769,"",2022,N00006267,Mike Crapo (R),"Paul, Weiss et al",19900,0,19900,13,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000000772,"",2022,N00006267,Mike Crapo (R),Station Casinos,16733,0,16733,14,I,2022-10-28 00:00:00 +0000,7107989.15
"","",C00340943,2022,N00006267,Mike Crapo (R),DaVita Inc,11500,5000,16500,15,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000000724,"",2022,N00006267,Mike Crapo (R),"Brownstein, Hyatt et al",9200,7000,16200,16,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000000086,"",2022,N00006267,Mike Crapo (R),National Assn of Home Builders,5800,10000,15800,17,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000030285,"",2022,N00006267,Mike Crapo (R),"Tarplin, Downs & Young",14800,0,14800,18,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000030898,"",2022,N00006267,Mike Crapo (R),Walter Oil & Gas,14753,0,14753,19,I,2022-10-28 00:00:00 +0000,7107989.15
"",D000061745,"",2022,N00006267,Mike Crapo (R),Hunt Companies,14100,0,14100,20,I,2022-10-28 00:00:00 +0000,7107989.15
"","","",2022,N00049991,Scott Cleveland (I),Ampac Advisors,2900,0,2900,1,C,2022-10-28 00:00:00 +0000,99203.61
"","","",2022,N00049991,Scott Cleveland (I),Thathern,1000,0,1000,2,C,2022-10-28 00:00:00 +0000,99203.61
"","","",2022,N00050751,David Roth (D),Bonneville County Democratic Central Com,1608,0,1608,1,C,2022-10-28 00:00:00 +0000,88532.59
"","","",2022,N00050751,David Roth (D),Cdi,1500,0,1500,2,C,2022-10-28 00:00:00 +0000,88532.59
"","","",2022,N00050751,David Roth (D),Zoot Enterprises,1225,0,1225,3,C,2022-10-28 00:00:00 +0000,88532.59
"",D000021899,"",2022,N00050751,David Roth (D),Cbre Group,1000,0,1000,4,C,2022-10-28 00:00:00 +0000,88532.59
"","","",2022,N00050751,David Roth (D),Alexander Inn Philadelphia,1000,0,1000,5,C,2022-10-28 00:00:00 +0000,88532.59
"","","",2022,N00051245,Carta Reale Sierra (L),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
