affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000113,"",2022,N00027860,Tammy Duckworth (D),EMILY's List,160570,10000,170570,1,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000025328,"",2022,N00027860,Tammy Duckworth (D),Democracy Engine,75404,0,75404,2,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000022252,"",2022,N00027860,Tammy Duckworth (D),Simmons Hanly Conroy,48900,0,48900,3,I,2022-10-28 00:00:00 +0000,20410485.84
"","","",2022,N00027860,Tammy Duckworth (D),United Airlines Holdings,43286,1000,44286,4,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000052457,"",2022,N00027860,Tammy Duckworth (D),J Street,34750,1000,35750,5,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000024513,"",2022,N00027860,Tammy Duckworth (D),Bunge Ltd,25630,10000,35630,6,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000024670,"",2022,N00027860,Tammy Duckworth (D),Centene Corp,24831,7500,32331,7,I,2022-10-28 00:00:00 +0000,20410485.84
"","",C00100321,2022,N00027860,Tammy Duckworth (D),L3Harris Technologies,28280,3000,31280,8,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000037797,"",2022,N00027860,Tammy Duckworth (D),State of Illinois                       ,26710,0,26710,9,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000046283,"",2022,N00027860,Tammy Duckworth (D),AAR Corp,25250,0,25250,10,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000021919,"",2022,N00027860,Tammy Duckworth (D),Clifford Law Offices,23200,0,23200,11,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000035821,"",2022,N00027860,Tammy Duckworth (D),Mesirow Financial,21340,0,21340,12,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000000288,"",2022,N00027860,Tammy Duckworth (D),League of Conservation Voters,17970,3125,21095,13,I,2022-10-28 00:00:00 +0000,20410485.84
"","","",2022,N00027860,Tammy Duckworth (D),Power Rogers Llp,19400,0,19400,14,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000021935,"",2022,N00027860,Tammy Duckworth (D),Cooney & Conway,19145,0,19145,15,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000000109,"",2022,N00027860,Tammy Duckworth (D),Blue Cross/Blue Shield,11605,7000,18605,16,I,2022-10-28 00:00:00 +0000,20410485.84
"","",C00816728,2022,N00027860,Tammy Duckworth (D),Marquis Energy,17933,0,17933,17,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000067823,"",2022,N00027860,Tammy Duckworth (D),Alphabet Inc,13874,2500,16374,18,I,2022-10-28 00:00:00 +0000,20410485.84
"","",C00797670,2022,N00027860,Tammy Duckworth (D),American Israel Public Affairs Cmte,5800,10000,15800,19,I,2022-10-28 00:00:00 +0000,20410485.84
"",D000000811,"",2022,N00027860,Tammy Duckworth (D),Kirkland & Ellis,15800,0,15800,20,I,2022-10-28 00:00:00 +0000,20410485.84
"","","",2022,N00027745,Kathy Salvi (R),Salvi & Maher                                     ,14300,0,14300,1,C,2022-10-28 00:00:00 +0000,1133736.71
"",D000030599,"",2022,N00027745,Kathy Salvi (R),Uline Inc,8700,0,8700,2,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Seyfarth Sidaw Llp,5800,0,5800,3,C,2022-10-28 00:00:00 +0000,1133736.71
"",D000052094,"",2022,N00027745,Kathy Salvi (R),Indeck Energy Services,5800,0,5800,4,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Park Ridge Community Bank,5785,0,5785,5,C,2022-10-28 00:00:00 +0000,1133736.71
"",D000000811,"",2022,N00027745,Kathy Salvi (R),Kirkland & Ellis,5700,0,5700,6,C,2022-10-28 00:00:00 +0000,1133736.71
"","",C00692327,2022,N00027745,Kathy Salvi (R),Lets Get to Work PAC,0,5000,5000,7,C,2022-10-28 00:00:00 +0000,1133736.71
"","",C00448373,2022,N00027745,Kathy Salvi (R),Huck PAC,0,5000,5000,8,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Waukegan Park District,5000,0,5000,9,C,2022-10-28 00:00:00 +0000,1133736.71
"","",C00543207,2022,N00027745,Kathy Salvi (R),Badlands PAC,0,5000,5000,10,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),ROSKAM PAC,0,3391,3391,11,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Payroll & Insurance Group,2900,0,2900,12,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Premier Eye Care Surgery,2900,0,2900,13,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Investements,2900,0,2900,14,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Juice Plus Co,2900,0,2900,15,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Kaluzny Brothers,2900,0,2900,16,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Indesk Energy Services,2900,0,2900,17,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Guarantee Trust Life Insurance Co,2900,0,2900,18,C,2022-10-28 00:00:00 +0000,1133736.71
"",D000033970,"",2022,N00027745,Kathy Salvi (R),GCG Partners,2900,0,2900,19,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00027745,Kathy Salvi (R),Atlas Wealth Management,2900,0,2900,20,C,2022-10-28 00:00:00 +0000,1133736.71
"","","",2022,N00030145,Bill Redpath (L),Bell Flavors & Fragrances,1000,0,1000,1,C,2022-10-28 00:00:00 +0000,63250.99
"","","",2022,N00030145,Bill Redpath (L),Howard Simon,1000,0,1000,2,C,2022-10-28 00:00:00 +0000,63250.99
"",D000030697,"",2022,N00030145,Bill Redpath (L),University of Virginia,1000,0,1000,3,C,2022-10-28 00:00:00 +0000,63250.99
"","","",2022,N00048634,Daniel Hauskins Jr (3),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00051004,Bradley Hodges (I),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
