affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000022158,"",2020,N00003389,Mitch McConnell (R),NorPAC,163575,0,163575,1,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000065181,"",2020,N00003389,Mitch McConnell (R),Votesane PAC,126800,0,126800,2,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000021873,"",2020,N00003389,Mitch McConnell (R),Blackstone Group,108502,1000,109502,3,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000081,"",2020,N00003389,Mitch McConnell (R),United Parcel Service,102600,5000,107600,4,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000358,"",2020,N00003389,Mitch McConnell (R),KKR & Co,80902,7500,88402,5,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000321,"",2020,N00003389,Mitch McConnell (R),NextEra Energy,67091,5000,72091,6,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000021845,"",2020,N00003389,Mitch McConnell (R),Apollo Global Management,53600,10000,63600,7,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000021890,"",2020,N00003389,Mitch McConnell (R),Capital Group Companies,59250,0,59250,8,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000652,"",2020,N00003389,Mitch McConnell (R),Humana Inc,48383,10000,58383,9,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000076,"",2020,N00003389,Mitch McConnell (R),AT&T Inc,56295,0,56295,10,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000109,"",2020,N00003389,Mitch McConnell (R),Blue Cross/Blue Shield,34009,20500,54509,11,I,2021-03-22 00:00:00 +0000,71351350.22
"","",C00528349,2020,N00003389,Mitch McConnell (R),CC Clark Inc,53388,0,53388,12,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000022003,"",2020,N00003389,Mitch McConnell (R),GEO Group,42204,10000,52204,13,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000166,"",2020,N00003389,Mitch McConnell (R),Eli Lilly & Co,48639,0,48639,14,I,2021-03-22 00:00:00 +0000,71351350.22
"","",C00097568,2020,N00003389,Mitch McConnell (R),Raytheon Technologies,28156,18500,46656,15,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000067697,"",2020,N00003389,Mitch McConnell (R),American Airlines Group,46617,0,46617,16,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000348,"",2020,N00003389,Mitch McConnell (R),UnitedHealth Group,43743,0,43743,17,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000021988,"",2020,N00003389,Mitch McConnell (R),Foley & Lardner,35320,7000,42320,18,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000172,"",2020,N00003389,Mitch McConnell (R),MetLife Inc,36938,5000,41938,19,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000103,"",2020,N00003389,Mitch McConnell (R),JPMorgan Chase & Co,36727,5000,41727,20,I,2021-03-22 00:00:00 +0000,71351350.22
"",D000000406,"",2020,N00041505,Amy McGrath (D),University of California                ,282521,0,282521,1,C,2021-03-22 00:00:00 +0000,94120557.06
"",D000067823,"",2020,N00041505,Amy McGrath (D),Alphabet Inc,259295,0,259295,2,C,2021-03-22 00:00:00 +0000,94120557.06
"",D000000115,"",2020,N00041505,Amy McGrath (D),Microsoft Corp,170311,0,170311,3,C,2021-03-22 00:00:00 +0000,94120557.06
"",D000022300,"",2020,N00041505,Amy McGrath (D),US Government,150563,0,150563,4,C,2021-03-22 00:00:00 +0000,94120557.06
