affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000021845,"",2022,N00026823,John Kennedy (R),Apollo Global Management,32700,0,32700,1,I,2022-10-28 00:00:00 +0000,37518378.980000004
"",D000067478,"",2022,N00026823,John Kennedy (R),Ochsner Health System,31105,0,31105,2,I,2022-10-28 00:00:00 +0000,37518378.980000004
"",D000021873,"",2022,N00026823,John Kennedy (R),Blackstone Group,29005,0,29005,3,I,2022-10-28 00:00:00 +0000,37518378.980000004
"","",C00166553,2022,N00026823,John Kennedy (R),Stephens Inc,24700,3000,27700,4,I,2022-10-28 00:00:00 +0000,37518378.980000004
"","","",2022,N00026823,John Kennedy (R),Energy Transfer LP,20300,0,20300,5,I,2022-10-28 00:00:00 +0000,37518378.980000004
"","","",2022,N00026823,John Kennedy (R),Investment Property Exchange Services,17500,0,17500,6,I,2022-10-28 00:00:00 +0000,37518378.980000004
"","","",2022,N00026823,John Kennedy (R),Investments Ltd,17400,0,17400,7,I,2022-10-28 00:00:00 +0000,37518378.980000004
"","","",2022,N00026823,John Kennedy (R),Reliance Systems,17400,0,17400,8,I,2022-10-28 00:00:00 +0000,37518378.980000004
"","","",2022,N00026823,John Kennedy (R),Blue Owl Capital,17400,0,17400,9,I,2022-10-28 00:00:00 +0000,37518378.980000004
"","","",2022,N00026823,John Kennedy (R),CaptiveAire Systems,17400,0,17400,10,I,2022-10-28 00:00:00 +0000,37518378.980000004
"","","",2022,N00026823,John Kennedy (R),Hydrologic Distribution Co,17150,0,17150,11,I,2022-10-28 00:00:00 +0000,37518378.980000004
"",D000000772,"",2022,N00026823,John Kennedy (R),Station Casinos,16733,0,16733,12,I,2022-10-28 00:00:00 +0000,37518378.980000004
"",D000000015,"",2022,N00026823,John Kennedy (R),Chevron Corp,5800,10000,15800,13,I,2022-10-28 00:00:00 +0000,37518378.980000004
"",D000022262,"",2022,N00026823,John Kennedy (R),Southern Glazer's Wine & Spirits                  ,15600,0,15600,14,I,2022-10-28 00:00:00 +0000,37518378.980000004
