affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000113,"",2018,N00033492,Elizabeth Warren (D),EMILY's List,123407,5000,128407,1,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000029916,"",2018,N00033492,Elizabeth Warren (D),Womencount PAC,106507,3005,109512,2,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000000544,"",2018,N00033492,Elizabeth Warren (D),Harvard University,69418,0,69418,3,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000024489,"",2018,N00033492,Elizabeth Warren (D),Brown Rudnick Llp,60625,5000,65625,4,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000022098,"",2018,N00033492,Elizabeth Warren (D),Massachusetts Institute of Technology,53226,0,53226,5,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000000750,"",2018,N00033492,Elizabeth Warren (D),Stanford University,40131,0,40131,6,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000022082,"",2018,N00033492,Elizabeth Warren (D),"Lieff, Cabraser et al",39746,0,39746,7,I,2019-06-10 00:00:00 +0000,34897110.93
D000022008,D000067823,"",2018,N00033492,Elizabeth Warren (D),Google Inc,38582,0,38582,8,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000000288,"",2018,N00033492,Elizabeth Warren (D),League of Conservation Voters,34169,3031,37200,9,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000032785,"",2018,N00033492,Elizabeth Warren (D),Commonwealth of Massachusetts,28061,0,28061,10,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000000771,"",2018,N00033492,Elizabeth Warren (D),Berger & Montague,27266,0,27266,11,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000022122,"",2018,N00033492,Elizabeth Warren (D),Moveon.org,16911,10000,26911,12,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000032062,"",2018,N00033492,Elizabeth Warren (D),Boston University,26646,0,26646,13,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000032895,"",2018,N00033492,Elizabeth Warren (D),"Cotchett, Pitre & McCarthy",23900,0,23900,14,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000034140,"",2018,N00033492,Elizabeth Warren (D),Goulston & Storrs,23452,0,23452,15,I,2019-06-10 00:00:00 +0000,34897110.93
D000045464,D000000544,"",2018,N00033492,Elizabeth Warren (D),Harvard University Law School,23306,0,23306,16,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000000106,"",2018,N00033492,Elizabeth Warren (D),Morgan Stanley,23023,0,23023,17,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000000388,"",2018,N00033492,Elizabeth Warren (D),Baron & Budd,22525,0,22525,18,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000025328,"",2018,N00033492,Elizabeth Warren (D),Democracy Engine,21756,0,21756,19,I,2019-06-10 00:00:00 +0000,34897110.93
"",D000064114,"",2018,N00033492,Elizabeth Warren (D),Yelp Inc,21615,0,21615,20,I,2019-06-10 00:00:00 +0000,34897110.93
"","","",2018,N00041034,Shiva Ayyadurai (I),Nasc,8100,0,8100,1,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Nu Science Corp,5400,0,5400,2,C,2019-06-10 00:00:00 +0000,5001461.22
"",D000063495,"",2018,N00041034,Shiva Ayyadurai (I),Sport Clips Inc,5400,0,5400,2,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Tacala,5400,0,5400,2,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),RJ Megna Electric,5216,0,5216,5,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Richard De Rosas Painting,5165,0,5165,6,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Aleph Objects,2700,0,2700,7,C,2019-06-10 00:00:00 +0000,5001461.22
"",D000000535,"",2018,N00041034,Shiva Ayyadurai (I),DISH Network,2700,0,2700,7,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Medxchange,2700,0,2700,7,C,2019-06-10 00:00:00 +0000,5001461.22
"",D000054584,"",2018,N00041034,Shiva Ayyadurai (I),Neuromedical Center,2700,0,2700,7,C,2019-06-10 00:00:00 +0000,5001461.22
"",D000037661,"",2018,N00041034,Shiva Ayyadurai (I),Solid State Equipment,2700,0,2700,7,C,2019-06-10 00:00:00 +0000,5001461.22
"",D000030472,"",2018,N00041034,Shiva Ayyadurai (I),Top Rock LLC,2700,0,2700,7,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Uckele Health & Nutrition,2700,0,2700,7,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Alpha Grainger Manufacturing,2000,0,2000,14,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Garmon Corp,2000,0,2000,14,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Integral Cardiovascular Center,2000,0,2000,14,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),California Contract Carpets,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
D000032632,D000028753,"",2018,N00041034,Shiva Ayyadurai (I),CKE Restaurants,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Continental Materials,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Eyeque Corp,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Four Sigma Corp,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
"",D000035700,"",2018,N00041034,Shiva Ayyadurai (I),McAllen Anesthesia Consultants,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),National Payment Corp,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
"",D000063261,"",2018,N00041034,Shiva Ayyadurai (I),Sandlian Realty,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Southland Capital Partners,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041034,Shiva Ayyadurai (I),Watertown Ford,1000,0,1000,17,C,2019-06-10 00:00:00 +0000,5001461.22
"","","",2018,N00041035,Geoff Diehl (R),Kirke Financial Services,13700,0,13700,1,C,2019-06-10 00:00:00 +0000,2994908.56
