affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000030671,"",2020,N00029277,Gary Peters (D),University of Michigan,543528,0,543528,1,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000067823,"",2020,N00029277,Gary Peters (D),Alphabet Inc,231046,7000,238046,2,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000000406,"",2020,N00029277,Gary Peters (D),University of California                ,180556,0,180556,3,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000035857,"",2020,N00029277,Gary Peters (D),Michigan State University,161708,0,161708,4,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000000085,"",2020,N00029277,Gary Peters (D),Goldman Sachs,115635,8500,124135,5,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000025328,"",2020,N00029277,Gary Peters (D),Democracy Engine,111192,0,111192,6,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000037804,"",2020,N00029277,Gary Peters (D),State of Michigan                       ,110570,0,110570,7,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000000115,"",2020,N00029277,Gary Peters (D),Microsoft Corp,100371,10000,110371,8,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000026462,"",2020,N00029277,Gary Peters (D),Henry Ford Health System,93753,9000,102753,9,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000000155,"",2020,N00029277,Gary Peters (D),General Motors,93065,5000,98065,10,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000000128,"",2020,N00029277,Gary Peters (D),Walt Disney Co,85718,6000,91718,11,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000023883,"",2020,N00029277,Gary Peters (D),Amazon.com,79811,10000,89811,12,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000000109,"",2020,N00029277,Gary Peters (D),Blue Cross/Blue Shield,80531,5000,85531,13,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000021754,"",2020,N00029277,Gary Peters (D),Apple Inc,85492,0,85492,14,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000021873,"",2020,N00029277,Gary Peters (D),Blackstone Group,84884,0,84884,15,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000000182,"",2020,N00029277,Gary Peters (D),Ford Motor Co,79271,3500,82771,16,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000029772,"",2020,N00029277,Gary Peters (D),Wayne State University,73717,0,73717,17,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000033563,"",2020,N00029277,Gary Peters (D),Facebook Inc,65253,5000,70253,18,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000022300,"",2020,N00029277,Gary Peters (D),US Government,66327,0,66327,19,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000067697,"",2020,N00029277,Gary Peters (D),American Airlines Group,54164,10000,64164,20,I,2021-03-22 00:00:00 +0000,51566899.989999995
"",D000028985,"",2020,N00041550,John James (R),Senate Conservatives Fund,222535,5000,227535,1,C,2021-03-22 00:00:00 +0000,48616697.18
"",D000036976,"",2020,N00041550,John James (R),RDV Corp,74500,0,74500,2,C,2021-03-22 00:00:00 +0000,48616697.18
"",D000036594,"",2020,N00041550,John James (R),Penske Corp                             ,63675,0,63675,3,C,2021-03-22 00:00:00 +0000,48616697.18
"",D000000155,"",2020,N00041550,John James (R),General Motors,47150,0,47150,4,C,2021-03-22 00:00:00 +0000,48616697.18
