affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000022294,"",2020,N00042353,Tina Smith (D),University of Minnesota,156676,0,156676,1,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000000113,"",2020,N00042353,Tina Smith (D),Emily's List,145267,10000,155267,2,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000025328,"",2020,N00042353,Tina Smith (D),Democracy Engine,104063,0,104063,3,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000063405,"",2020,N00042353,Tina Smith (D),Signature Bank,67650,0,67650,4,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000037805,"",2020,N00042353,Tina Smith (D),State of Minnesota,60727,0,60727,5,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000000109,"",2020,N00042353,Tina Smith (D),Blue Cross/Blue Shield,22671,24500,47171,6,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000035692,"",2020,N00042353,Tina Smith (D),Mayo Clinic,41936,0,41936,7,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000000461,"",2020,N00042353,Tina Smith (D),Comcast Corp,29980,10000,39980,8,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000036742,"",2020,N00042353,Tina Smith (D),Pohlad Companies                                  ,39500,0,39500,9,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000025625,"",2020,N00042353,Tina Smith (D),Ecolab Inc,28180,10000,38180,10,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000021961,"",2020,N00042353,Tina Smith (D),Dorsey & Whitney,32175,6000,38175,11,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000067823,"",2020,N00042353,Tina Smith (D),Alphabet Inc,28862,8000,36862,12,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000000487,"",2020,N00042353,Tina Smith (D),US Bancorp,25890,10000,35890,13,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000000467,"",2020,N00042353,Tina Smith (D),General Mills,25705,10000,35705,14,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000027256,"",2020,N00042353,Tina Smith (D),Lockridge Grindal Nauen PLLP,29665,5331,34996,15,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000000348,"",2020,N00042353,Tina Smith (D),UnitedHealth Group,20498,10000,30498,16,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000019743,"",2020,N00042353,Tina Smith (D),Wells Fargo,19500,10000,29500,17,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000022110,"",2020,N00042353,Tina Smith (D),Medtronic Inc,18122,10000,28122,18,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000021800,"",2020,N00042353,Tina Smith (D),3M Co,23054,5000,28054,19,I,2021-03-22 00:00:00 +0000,16273913.76
"",D000034393,"",2020,N00042353,Tina Smith (D),Heartland Realty Investors,28000,0,28000,20,I,2021-03-22 00:00:00 +0000,16273913.76
"","","",2020,N00038400,Jason Lewis (R),Hegenes Properties,12800,0,12800,1,C,2021-03-22 00:00:00 +0000,7083880.62
"",D000031546,"",2020,N00038400,Jason Lewis (R),Anderson Trucking Service,11700,0,11700,2,C,2021-03-22 00:00:00 +0000,7083880.62
"","","",2020,N00038400,Jason Lewis (R),Timberland Transportation,11450,0,11450,3,C,2021-03-22 00:00:00 +0000,7083880.62
"",D000031794,"",2020,N00038400,Jason Lewis (R),Banner Engineering,11230,0,11230,4,C,2021-03-22 00:00:00 +0000,7083880.62
"",D000031356,"",2020,N00038400,Jason Lewis (R),Aimco,11225,0,11225,5,C,2021-03-22 00:00:00 +0000,7083880.62
"",D000063213,"",2020,N00038400,Jason Lewis (R),Rtp Co,11200,0,11200,6,C,2021-03-22 00:00:00 +0000,7083880.62
"",D000034569,"",2020,N00038400,Jason Lewis (R),Hubbard Broadcasting,10750,0,10750,7,C,2021-03-22 00:00:00 +0000,7083880.62
"","","",2020,N00038400,Jason Lewis (R),Davis Family Holdings,10600,0,10600,8,C,2021-03-22 00:00:00 +0000,7083880.62
"","","",2020,N00038400,Jason Lewis (R),Elingson Companies,10500,0,10500,9,C,2021-03-22 00:00:00 +0000,7083880.62
"","","",2020,N00038400,Jason Lewis (R),Arvig Enterprises,10500,0,10500,10,C,2021-03-22 00:00:00 +0000,7083880.62
"",D000019828,"",2020,N00038400,Jason Lewis (R),Emerson Electric,150,10000,10150,11,C,2021-03-22 00:00:00 +0000,7083880.62
"",D000037002,"",2020,N00038400,Jason Lewis (R),Red Wing Publishing,10100,0,10100,12,C,2021-03-22 00:00:00 +0000,7083880.62
"","",C00592089,2020,N00038400,Jason Lewis (R),Electing Majority Making Effective Republicans,0,10000,10000,13,C,2021-03-22 00:00:00 +0000,7083880.62
"","","",2020,N00038400,Jason Lewis (R),Freedom & Security PAC,0,10000,10000,14,C,2021-03-22 00:00:00 +0000,7083880.62
"",D000024850,"",2020,N00038400,Jason Lewis (R),Citizens United,0,10000,10000,15,C,2021-03-22 00:00:00 +0000,7083880.62
"","",C00543207,2020,N00038400,Jason Lewis (R),Badlands PAC,0,10000,10000,16,C,2021-03-22 00:00:00 +0000,7083880.62
"",D000025919,"",2020,N00038400,Jason Lewis (R),Freedom Club of America,0,10000,10000,17,C,2021-03-22 00:00:00 +0000,7083880.62
"","",C00448373,2020,N00038400,Jason Lewis (R),Huck PAC,5000,5000,10000,18,C,2021-03-22 00:00:00 +0000,7083880.62
"","","",2020,N00038400,Jason Lewis (R),Dondelinger Chevrolet-Cadillac,9600,0,9600,19,C,2021-03-22 00:00:00 +0000,7083880.62
"","","",2020,N00038400,Jason Lewis (R),Archer Auto Group,8725,0,8725,20,C,2021-03-22 00:00:00 +0000,7083880.62
