affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000113,"",2018,N00027694,Claire McCaskill (D),EMILY's List,607674,5000,612674,1,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000038170,"",2018,N00027694,Claire McCaskill (D),Washington University in St Louis,412428,0,412428,2,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000022252,"",2018,N00027694,Claire McCaskill (D),Simmons Hanly Conroy,409550,0,409550,3,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000030673,"",2018,N00027694,Claire McCaskill (D),University of Missouri,170782,0,170782,4,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000024670,"",2018,N00027694,Claire McCaskill (D),Centene Corp,139248,10000,149248,5,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000021883,"",2018,N00027694,Claire McCaskill (D),"Bryan, Cave et al",133319,10000,143319,6,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000065181,"",2018,N00027694,Claire McCaskill (D),Votesane PAC,108200,0,108200,7,I,2019-06-10 00:00:00 +0000,38934451.68
D000026918,D000052457,"",2018,N00027694,Claire McCaskill (D),JStreetPAC,91603,5000,96603,8,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000055544,"",2018,N00027694,Claire McCaskill (D),Polsinelli PC,80892,10000,90892,9,I,2019-06-10 00:00:00 +0000,38934451.68
D000022008,D000067823,"",2018,N00027694,Claire McCaskill (D),Google Inc,79519,8000,87519,10,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000021977,"",2018,N00027694,Claire McCaskill (D),Express Scripts,71288,10000,81288,11,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000032285,"",2018,N00027694,Claire McCaskill (D),Capital Group,78349,0,78349,12,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000030396,"",2018,N00027694,Claire McCaskill (D),Thompson Coburn LLP,56323,10000,66323,13,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000022082,"",2018,N00027694,Claire McCaskill (D),"Lieff, Cabraser et al",63225,0,63225,14,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000026558,"",2018,N00027694,Claire McCaskill (D),Husch Blackwell LLP,61039,1000,62039,15,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000035174,"",2018,N00027694,Claire McCaskill (D),Korein Tillery LLC,60900,0,60900,16,I,2019-06-10 00:00:00 +0000,38934451.68
"",D000037807,"",2018,N00027694,Claire McCaskill (D),State of Missouri,60881,0,60881,17,I,2019-06-10 00:00:00 +0000,38934451.68
