affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000056580,"",2020,N00043298,Cindy Hyde-Smith (R),Seemann Composites,36300,0,36300,1,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000022158,"",2020,N00043298,Cindy Hyde-Smith (R),NorPAC,24320,0,24320,2,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000029365,"",2020,N00043298,Cindy Hyde-Smith (R),Telapex Inc,19180,5000,24180,3,I,2021-03-22 00:00:00 +0000,3374055.48
"","","",2020,N00043298,Cindy Hyde-Smith (R),Addicus,22100,0,22100,4,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000033503,"",2020,N00043298,Cindy Hyde-Smith (R),Ergon Inc,19400,0,19400,5,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000064813,"",2020,N00043298,Cindy Hyde-Smith (R),Huntington Ingalls Industries,13778,5000,18778,6,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000036857,"",2020,N00043298,Cindy Hyde-Smith (R),Pruet Oil,16800,0,16800,7,I,2021-03-22 00:00:00 +0000,3374055.48
D000031181,D000064111,"",2020,N00043298,Cindy Hyde-Smith (R),Yates Construction,16800,0,16800,8,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000037360,"",2020,N00043298,Cindy Hyde-Smith (R),Sanderson Farms,16400,0,16400,9,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000025061,"",2020,N00043298,Cindy Hyde-Smith (R),Community Bancshares of Mississippi,10500,5000,15500,10,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000000369,"",2020,N00043298,Cindy Hyde-Smith (R),Leidos Inc,9000,5000,14000,11,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000051391,"",2020,N00043298,Cindy Hyde-Smith (R),Golding barge line,14000,0,14000,12,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000032312,"",2020,N00043298,Cindy Hyde-Smith (R),Capitol Resources,13500,0,13500,13,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000000317,"",2020,N00043298,Cindy Hyde-Smith (R),General Atomics,5675,7500,13175,14,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000021995,"",2020,N00043298,Cindy Hyde-Smith (R),Freeport-McMoRan,8100,5000,13100,15,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000024527,"",2020,N00043298,Cindy Hyde-Smith (R),Butler Snow LLP,2000,10000,12000,16,I,2021-03-22 00:00:00 +0000,3374055.48
"","","",2020,N00043298,Cindy Hyde-Smith (R),Wade Inc,11600,0,11600,17,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000000162,"",2020,N00043298,Cindy Hyde-Smith (R),"Akin, Gump et al",9000,2500,11500,18,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000000111,"",2020,N00043298,Cindy Hyde-Smith (R),Amway/Alticor Inc,11200,0,11200,19,I,2021-03-22 00:00:00 +0000,3374055.48
"","","",2020,N00043298,Cindy Hyde-Smith (R),G&S Holdings,11200,0,11200,20,I,2021-03-22 00:00:00 +0000,3374055.48
"",D000000406,"",2020,N00003295,Mike Espy (D),University of California                ,55564,0,55564,1,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000067823,"",2020,N00003295,Mike Espy (D),Alphabet Inc,49890,0,49890,2,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000021754,"",2020,N00003295,Mike Espy (D),Apple Inc,32800,0,32800,3,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000000115,"",2020,N00003295,Mike Espy (D),Microsoft Corp,27881,0,27881,4,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000023883,"",2020,N00003295,Mike Espy (D),Amazon.com,25773,0,25773,5,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000022300,"",2020,N00003295,Mike Espy (D),US Government,25051,0,25051,6,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000000128,"",2020,N00003295,Mike Espy (D),Walt Disney Co,21229,0,21229,7,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000000076,"",2020,N00003295,Mike Espy (D),AT&T Inc,18338,0,18338,8,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000030672,"",2020,N00003295,Mike Espy (D),University of Mississippi,17200,0,17200,9,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000000750,"",2020,N00003295,Mike Espy (D),Stanford University,15814,0,15814,10,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000034986,"",2020,N00003295,Mike Espy (D),Kaiser Permanente,15541,0,15541,11,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000000544,"",2020,N00003295,Mike Espy (D),Harvard University,15527,0,15527,12,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000033563,"",2020,N00003295,Mike Espy (D),Facebook Inc,15007,0,15007,13,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000022049,"",2020,N00003295,Mike Espy (D),Jana Partners,14010,0,14010,14,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000022154,"",2020,N00003295,Mike Espy (D),New York University,12721,0,12721,15,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000021915,"",2020,N00003295,Mike Espy (D),"City of New York, NY",11939,0,11939,16,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000000769,"",2020,N00003295,Mike Espy (D),"Paul, Weiss et al                       ",11939,0,11939,17,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000022297,"",2020,N00003295,Mike Espy (D),University of Washington,11173,0,11173,18,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000000720,"",2020,N00003295,Mike Espy (D),IBM Corp,10954,0,10954,19,C,2021-03-22 00:00:00 +0000,12200588.8
"",D000021927,"",2020,N00003295,Mike Espy (D),Columbia University,10787,0,10787,20,C,2021-03-22 00:00:00 +0000,12200588.8
"","","",2020,N00046853,Jimmy Edwards (L),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
"","","",2020,N00047329,Mary Wright (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
