affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000021873,"",2020,N00035492,Thom Tillis (R),Blackstone Group,93286,0,93286,1,I,2021-03-22 00:00:00 +0000,25327590.31
"","",C00386524,2020,N00035492,Thom Tillis (R),Truist Financial,67655,10500,78155,2,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000000085,"",2020,N00035492,Thom Tillis (R),Goldman Sachs,48475,10000,58475,3,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000000090,"",2020,N00035492,Thom Tillis (R),Bank of America,47890,10000,57890,4,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000019743,"",2020,N00035492,Thom Tillis (R),Wells Fargo,53294,4000,57294,5,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000000672,"",2020,N00035492,Thom Tillis (R),Charter Communications,43841,6500,50341,6,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000000477,"",2020,N00035492,Thom Tillis (R),Duke Energy,39439,5000,44439,7,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000021845,"",2020,N00035492,Thom Tillis (R),Apollo Global Management,40902,2500,43402,8,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000021972,"",2020,N00035492,Thom Tillis (R),Elliott Management,41900,0,41900,9,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000021890,"",2020,N00035492,Thom Tillis (R),Capital Group Companies,36250,5000,41250,10,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000066804,"",2020,N00035492,Thom Tillis (R),AbbVie Inc,21959,19000,40959,11,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000022103,"",2020,N00035492,Thom Tillis (R),McGuireWoods LLP,31925,4000,35925,12,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000028057,"",2020,N00035492,Thom Tillis (R),Nucor Corp,28238,7500,35738,13,I,2021-03-22 00:00:00 +0000,25327590.31
"","",C00552778,2020,N00035492,Thom Tillis (R),Live Oak Bank,24600,10000,34600,14,I,2021-03-22 00:00:00 +0000,25327590.31
D000021987,D000000328,"",2020,N00035492,Thom Tillis (R),FMR Corp                                ,31954,2500,34454,15,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000021913,"",2020,N00035492,Thom Tillis (R),Citizens Financial Group,27907,5500,33407,16,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000033563,"",2020,N00035492,Thom Tillis (R),Facebook Inc,28117,5000,33117,17,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000030079,"",2020,N00035492,Thom Tillis (R),Stedman West Interests,32000,0,32000,18,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000000811,"",2020,N00035492,Thom Tillis (R),Kirkland & Ellis,31800,0,31800,19,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000029511,"",2020,N00035492,Thom Tillis (R),EmergeOrtho,21569,10000,31569,20,I,2021-03-22 00:00:00 +0000,25327590.31
"",D000067823,"",2020,N00031446,Cal Cunningham (D),Alphabet Inc,368486,0,368486,1,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000000406,"",2020,N00031446,Cal Cunningham (D),University of California                ,281440,0,281440,2,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000030679,"",2020,N00031446,Cal Cunningham (D),University of North Carolina            ,235045,0,235045,3,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000033300,"",2020,N00031446,Cal Cunningham (D),Duke University,205847,0,205847,4,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000000115,"",2020,N00031446,Cal Cunningham (D),Microsoft Corp,139499,0,139499,5,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000023883,"",2020,N00031446,Cal Cunningham (D),Amazon.com,119588,0,119588,6,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000021754,"",2020,N00031446,Cal Cunningham (D),Apple Inc,105690,0,105690,7,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000022300,"",2020,N00031446,Cal Cunningham (D),US Government,105410,0,105410,8,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000033563,"",2020,N00031446,Cal Cunningham (D),Facebook Inc,101395,0,101395,9,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000000544,"",2020,N00031446,Cal Cunningham (D),Harvard University,93143,0,93143,10,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000000720,"",2020,N00031446,Cal Cunningham (D),IBM Corp,86319,0,86319,11,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000000750,"",2020,N00031446,Cal Cunningham (D),Stanford University,81448,0,81448,12,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000025328,"",2020,N00031446,Cal Cunningham (D),Democracy Engine,75675,0,75675,13,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000000128,"",2020,N00031446,Cal Cunningham (D),Walt Disney Co                          ,74252,0,74252,14,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000000769,"",2020,N00031446,Cal Cunningham (D),"Paul, Weiss et al                       ",70259,0,70259,15,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000022322,"",2020,N00031446,Cal Cunningham (D),WilmerHale Llp,69465,0,69465,16,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000000076,"",2020,N00031446,Cal Cunningham (D),AT&T Inc,67628,0,67628,17,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000019743,"",2020,N00031446,Cal Cunningham (D),Wells Fargo,62317,0,62317,18,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000021927,"",2020,N00031446,Cal Cunningham (D),Columbia University,61865,0,61865,19,C,2021-03-22 00:00:00 +0000,51249731.73
"",D000034986,"",2020,N00031446,Cal Cunningham (D),Kaiser Permanente,60880,0,60880,20,C,2021-03-22 00:00:00 +0000,51249731.73
"","","",2020,N00044028,Shannon Bray (L),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
"","","",2020,N00046468,Jeremy Thomas (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
"","","",2020,N00046856,Kevin Hayes (3),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
