affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000763,"",2020,N00035544,Ben Sasse (R),Club for Growth,49801,0,49801,1,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000021952,"",2020,N00035544,Ben Sasse (R),DCI Group,36400,5000,41400,2,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000022158,"",2020,N00035544,Ben Sasse (R),NorPAC,29300,0,29300,3,I,2021-03-22 00:00:00 +0000,6364309.08
"","","",2020,N00035544,Ben Sasse (R),Mountain Group Partners,22200,0,22200,4,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000029205,"",2020,N00035544,Ben Sasse (R),Stephens Group,21600,0,21600,5,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000000115,"",2020,N00035544,Ben Sasse (R),Microsoft Corp,9420,11000,20420,6,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000036976,"",2020,N00035544,Ben Sasse (R),Rdv Corp,19600,0,19600,7,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000000141,"",2020,N00035544,Ben Sasse (R),Prudential Financial,14000,5500,19500,8,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000067823,"",2020,N00035544,Ben Sasse (R),Alphabet Inc,14225,4500,18725,9,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000032285,"",2020,N00035544,Ben Sasse (R),Capital Group,18000,0,18000,10,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000021808,"",2020,N00035544,Ben Sasse (R),Affiliated Managers Group               ,17800,0,17800,11,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000021873,"",2020,N00035544,Ben Sasse (R),Blackstone Group,16800,0,16800,12,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000021890,"",2020,N00035544,Ben Sasse (R),Capital Group Companies,11000,5000,16000,13,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000000118,"",2020,N00035544,Ben Sasse (R),Union Pacific Corp,5855,10000,15855,14,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000022003,"",2020,N00035544,Ben Sasse (R),GEO Group,5000,10000,15000,15,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000024670,"",2020,N00035544,Ben Sasse (R),Centene Corp                            ,14000,0,14000,16,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000000202,"",2020,N00035544,Ben Sasse (R),National Assn of Broadcasters,3000,10000,13000,17,I,2021-03-22 00:00:00 +0000,6364309.08
"","","",2020,N00035544,Ben Sasse (R),Zurich Insurance Group,5250,7500,12750,18,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000032451,"",2020,N00035544,Ben Sasse (R),Centerview Partners,12200,0,12200,19,I,2021-03-22 00:00:00 +0000,6364309.08
"",D000035089,"",2020,N00035544,Ben Sasse (R),Kiewit Corp,12200,0,12200,20,I,2021-03-22 00:00:00 +0000,6364309.08
"","","",2020,N00043302,Chris Janicek (D),Nebraska Beef,1300,0,1300,1,C,2021-03-22 00:00:00 +0000,144665.97999999998
"","","",2020,N00043302,Chris Janicek (D),Omaha Public Schools,1140,0,1140,2,C,2021-03-22 00:00:00 +0000,144665.97999999998
"","","",2020,N00043302,Chris Janicek (D),CW Ventures,1050,0,1050,3,C,2021-03-22 00:00:00 +0000,144665.97999999998
"","","",2020,N00043302,Chris Janicek (D),Steve Elliot Research,1011,0,1011,4,C,2021-03-22 00:00:00 +0000,144665.97999999998
"","","",2020,N00043302,Chris Janicek (D),Cfm Realty Advisors,1000,0,1000,5,C,2021-03-22 00:00:00 +0000,144665.97999999998
"","","",2020,N00043302,Chris Janicek (D),Weitz Family Foundation,1000,0,1000,6,C,2021-03-22 00:00:00 +0000,144665.97999999998
"","","",2020,N00043302,Chris Janicek (D),Reproductive Health Specialists,1000,0,1000,7,C,2021-03-22 00:00:00 +0000,144665.97999999998
"","","",2020,N00047056,Gene Siadek (L),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
