affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000113,"",2022,N00038397,Maggie Hassan (D),EMILY's List,428722,10000,438722,1,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000025328,"",2022,N00038397,Maggie Hassan (D),Democracy Engine,406471,0,406471,2,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000052457,"",2022,N00038397,Maggie Hassan (D),J Street,135999,0,135999,3,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000065181,"",2022,N00038397,Maggie Hassan (D),Votesane PAC,104000,0,104000,4,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000067823,"",2022,N00038397,Maggie Hassan (D),Alphabet Inc,88779,5000,93779,5,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000000544,"",2022,N00038397,Maggie Hassan (D),Harvard University                      ,91544,0,91544,6,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000000406,"",2022,N00038397,Maggie Hassan (D),University of California                ,71585,0,71585,7,I,2022-10-28 00:00:00 +0000,38340375.029999994
"","",C00797670,2022,N00038397,Maggie Hassan (D),American Israel Public Affairs Cmte,51650,10000,61650,8,I,2022-10-28 00:00:00 +0000,38340375.029999994
"","",C00215046,2022,N00038397,Maggie Hassan (D),Fidelity Investments,49201,9000,58201,9,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000000085,"",2022,N00038397,Maggie Hassan (D),Goldman Sachs,42650,10000,52650,10,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000022121,"",2022,N00038397,Maggie Hassan (D),Motley Rice LLC,52291,0,52291,11,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000021845,"",2022,N00038397,Maggie Hassan (D),Apollo Global Management,44725,6400,51125,12,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000037810,"",2022,N00038397,Maggie Hassan (D),State of New Hampshire,50750,0,50750,13,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000024670,"",2022,N00038397,Maggie Hassan (D),Centene Corp,42516,6000,48516,14,I,2022-10-28 00:00:00 +0000,38340375.029999994
"","",C00699470,2022,N00038397,Maggie Hassan (D),Pro-Israel America PAC,40800,2500,43300,15,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000022098,"",2022,N00038397,Maggie Hassan (D),Massachusetts Institute of Technology,42548,0,42548,16,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000000288,"",2022,N00038397,Maggie Hassan (D),League of Conservation Voters,33755,7867,41622,17,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000033047,"",2022,N00038397,Maggie Hassan (D),Dartmouth College,40165,0,40165,18,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000030677,"",2022,N00038397,Maggie Hassan (D),University of New Hampshire             ,38832,0,38832,19,I,2022-10-28 00:00:00 +0000,38340375.029999994
"",D000000115,"",2022,N00038397,Maggie Hassan (D),Microsoft Corp,33535,5000,38535,20,I,2022-10-28 00:00:00 +0000,38340375.029999994
"","","",2022,N00044989,Don Bolduc (R),New England Die Cutting,13540,0,13540,1,C,2022-10-28 00:00:00 +0000,2243795.94
"",D000033595,"",2022,N00044989,Don Bolduc (R),Fast Food Systems,11600,0,11600,2,C,2022-10-28 00:00:00 +0000,2243795.94
"","","",2022,N00044989,Don Bolduc (R),Los Primos Mexican Restaurant,7000,0,7000,3,C,2022-10-28 00:00:00 +0000,2243795.94
"",D000037810,"",2022,N00044989,Don Bolduc (R),State of New Hampshire,6460,0,6460,4,C,2022-10-28 00:00:00 +0000,2243795.94
"",D000059619,"",2022,N00044989,Don Bolduc (R),Stifel Financial,5940,0,5940,5,C,2022-10-28 00:00:00 +0000,2243795.94
"","","",2022,N00044989,Don Bolduc (R),Great North Property Management,5900,0,5900,6,C,2022-10-28 00:00:00 +0000,2243795.94
"","","",2022,N00044989,Don Bolduc (R),Government Affairs Liaison,5800,0,5800,7,C,2022-10-28 00:00:00 +0000,2243795.94
"","","",2022,N00044989,Don Bolduc (R),Charles & Potomac Capital,5800,0,5800,8,C,2022-10-28 00:00:00 +0000,2243795.94
"","","",2022,N00044989,Don Bolduc (R),Crescent Investment Group,5800,0,5800,9,C,2022-10-28 00:00:00 +0000,2243795.94
"","","",2022,N00044989,Don Bolduc (R),Bogen Communications,5800,0,5800,10,C,2022-10-28 00:00:00 +0000,2243795.94
"","","",2022,N00044989,Don Bolduc (R),Riccio Enterprises,5800,0,5800,11,C,2022-10-28 00:00:00 +0000,2243795.94
"","","",2022,N00044989,Don Bolduc (R),Sleepnet Corp,5150,0,5150,12,C,2022-10-28 00:00:00 +0000,2243795.94
"","",C00241380,2022,N00044989,Don Bolduc (R),ArentFox Schiff,5000,0,5000,13,C,2022-10-28 00:00:00 +0000,2243795.94
