affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000022158,"",2018,N00000699,Robert Menendez (D),NorPAC,248889,0,248889,1,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000035471,"",2018,N00000699,Robert Menendez (D),Lowenstein Sandler LLP,86362,0,86362,2,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000452,"",2018,N00000699,Robert Menendez (D),Federated Investors Inc,60700,5000,65700,3,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000026216,"",2018,N00000699,Robert Menendez (D),Gibbons PC,41950,10000,51950,4,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000344,"",2018,N00000699,Robert Menendez (D),Greenberg Traurig LLP,44305,7000,51305,5,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000036496,"",2018,N00000699,Robert Menendez (D),Panepinto Properties,51200,0,51200,6,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000769,"",2018,N00000699,Robert Menendez (D),"Paul, Weiss et al",50750,0,50750,7,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000141,"",2018,N00000699,Robert Menendez (D),Prudential Financial,39875,10000,49875,8,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000085,"",2018,N00000699,Robert Menendez (D),Goldman Sachs,38485,10000,48485,9,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000022121,"",2018,N00000699,Robert Menendez (D),Motley Rice LLC,40000,0,40000,10,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000667,"",2018,N00000699,Robert Menendez (D),Mack-Cali Realty,38200,0,38200,11,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000036457,"",2018,N00000699,Robert Menendez (D),"Pachulski, Stang et al",35100,0,35100,12,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000022037,"",2018,N00000699,Robert Menendez (D),IDT Corp,24900,10000,34900,13,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000034683,"",2018,N00000699,Robert Menendez (D),Inserra Supermarkets,32500,0,32500,14,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000032339,"",2018,N00000699,Robert Menendez (D),"Carella, Byrne et al",30650,0,30650,15,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000724,"",2018,N00000699,Robert Menendez (D),"Brownstein, Hyatt et al",20250,10000,30250,16,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000461,"",2018,N00000699,Robert Menendez (D),Comcast Corp,17205,10000,27205,17,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000029478,"",2018,N00000699,Robert Menendez (D),Tom James Co,26200,1000,27200,18,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000162,"",2018,N00000699,Robert Menendez (D),"Akin, Gump et al",23100,4000,27100,19,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000027198,"",2018,N00000699,Robert Menendez (D),Leon Medical Centers                              ,27000,0,27000,20,I,2019-06-10 00:00:00 +0000,12271085.8
"",D000000103,"",2018,N00042986,Bob Hugin (R),JPMorgan Chase & Co,54900,0,54900,1,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000032962,"",2018,N00042986,Bob Hugin (R),Crown Acquisitions,48598,0,48598,2,C,2019-06-10 00:00:00 +0000,39158866.22
"","","",2018,N00042986,Bob Hugin (R),National Republican Senatorial Cmte,0,47400,47400,3,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000031686,"",2018,N00042986,Bob Hugin (R),Atlantic Health System,44575,0,44575,4,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000032432,"",2018,N00042986,Bob Hugin (R),Celgene Corp,44375,0,44375,5,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000022034,"",2018,N00042986,Bob Hugin (R),Hunter Engineering,32400,0,32400,6,C,2019-06-10 00:00:00 +0000,39158866.22
"","","",2018,N00042986,Bob Hugin (R),Celularity Inc,30900,0,30900,7,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000068995,"",2018,N00042986,Bob Hugin (R),Alexandria Real Estate Equities,29200,0,29200,8,C,2019-06-10 00:00:00 +0000,39158866.22
"","","",2018,N00042986,Bob Hugin (R),Thompson Street Capital Partners,24600,0,24600,9,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000000342,"",2018,N00042986,Bob Hugin (R),JW Childs Assoc,23600,0,23600,10,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000000071,"",2018,N00042986,Bob Hugin (R),Citigroup Inc,21925,0,21925,11,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000000106,"",2018,N00042986,Bob Hugin (R),Morgan Stanley,21700,0,21700,12,C,2019-06-10 00:00:00 +0000,39158866.22
D000025170,D000024300,"",2018,N00042986,Bob Hugin (R),CR Bard Inc,21600,0,21600,13,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000035866,"",2018,N00042986,Bob Hugin (R),Midtown Equities,21600,0,21600,13,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000033375,"",2018,N00042986,Bob Hugin (R),Edgewood Management,20200,0,20200,15,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000032407,"",2018,N00042986,Bob Hugin (R),Cavalry Asset Management,16200,0,16200,16,C,2019-06-10 00:00:00 +0000,39158866.22
"","","",2018,N00042986,Bob Hugin (R),Arsenal Capital Partners,15800,0,15800,17,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000034771,"",2018,N00042986,Bob Hugin (R),J Fletcher Creamer & Son,15000,0,15000,18,C,2019-06-10 00:00:00 +0000,39158866.22
"","","",2018,N00042986,Bob Hugin (R),Braha Industries,14400,0,14400,19,C,2019-06-10 00:00:00 +0000,39158866.22
"","","",2018,N00042986,Bob Hugin (R),Firefly Group,13500,0,13500,20,C,2019-06-10 00:00:00 +0000,39158866.22
"",D000054633,"",2018,N00042986,Bob Hugin (R),New Vernon Capital,13500,0,13500,20,C,2019-06-10 00:00:00 +0000,39158866.22
"","","",2018,N00009941,Murray Sabrin (L),Allure Plastic Surgery,2700,0,2700,1,C,2019-06-10 00:00:00 +0000,43031.0
"","","",2018,N00009941,Murray Sabrin (L),Myron Corp,2700,0,2700,1,C,2019-06-10 00:00:00 +0000,43031.0
"","","",2018,N00009941,Murray Sabrin (L),Westwood Oph Assoc,1180,0,1180,3,C,2019-06-10 00:00:00 +0000,43031.0
"","","",2018,N00009941,Murray Sabrin (L),Brown Exc Assoc,1000,0,1000,4,C,2019-06-10 00:00:00 +0000,43031.0
"","","",2018,N00043415,Tricia Flanagan (I),Shrinivas Elliott & Eday Llp Cpas,2700,0,2700,1,C,2019-06-10 00:00:00 +0000,10025.0
"","","",2018,N00043917,Madelyn Hoffman (3),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,5892.82
"","","",2018,N00036774,Hank Schroeder (3),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00041284,Usman Ghumman (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043414,Natalie Lynn Rivera (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043963,Kevin Kimple (3),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
