affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000288,"",2018,N00029835,Martin Heinrich (D),League of Conservation Voters,107325,9979,117304,1,I,2019-06-10 00:00:00 +0000,8552893.18
D000026918,D000052457,"",2018,N00029835,Martin Heinrich (D),JStreetPAC,62067,0,62067,2,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000030678,"",2018,N00029835,Martin Heinrich (D),University of New Mexico,59451,0,59451,3,I,2019-06-10 00:00:00 +0000,8552893.18
D000095239,D000095235,"",2018,N00029835,Martin Heinrich (D),MMR Constructors,49100,0,49100,4,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000000162,"",2018,N00029835,Martin Heinrich (D),"Akin, Gump et al",31202,4250,35452,5,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000063162,"",2018,N00029835,Martin Heinrich (D),"Robbins, Geller et al",32500,0,32500,6,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000000321,"",2018,N00029835,Martin Heinrich (D),NextEra Energy,23510,6500,30010,7,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000000317,"",2018,N00029835,Martin Heinrich (D),General Atomics,18950,10000,28950,8,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000021873,"",2018,N00029835,Martin Heinrich (D),Blackstone Group,27000,0,27000,9,I,2019-06-10 00:00:00 +0000,8552893.18
"","","",2018,N00029835,Martin Heinrich (D),Mmr Group,24300,0,24300,10,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000068133,"",2018,N00029835,Martin Heinrich (D),Tellurian Inc,17500,5000,22500,11,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000000724,"",2018,N00029835,Martin Heinrich (D),"Brownstein, Hyatt et al                 ",15750,5000,20750,12,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000021977,"",2018,N00029835,Martin Heinrich (D),Express Scripts,10000,10000,20000,13,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000035174,"",2018,N00029835,Martin Heinrich (D),Korein Tillery LLC,20000,0,20000,13,I,2019-06-10 00:00:00 +0000,8552893.18
"","","",2018,N00029835,Martin Heinrich (D),Doterra International,19000,0,19000,15,I,2019-06-10 00:00:00 +0000,8552893.18
"","","",2018,N00029835,Martin Heinrich (D),Forbes Tate Partners,18700,0,18700,16,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000035205,"",2018,N00029835,Martin Heinrich (D),L&F Distributors,18500,0,18500,17,I,2019-06-10 00:00:00 +0000,8552893.18
"",D000033563,"",2018,N00029835,Martin Heinrich (D),Facebook Inc,7200,10000,17200,18,I,2019-06-10 00:00:00 +0000,8552893.18
D000022008,D000067823,"",2018,N00029835,Martin Heinrich (D),Google Inc,7472,9500,16972,19,I,2019-06-10 00:00:00 +0000,8552893.18
D000057886,D000022251,"",2018,N00029835,Martin Heinrich (D),Ultimate Fighting Championship,14000,2700,16700,20,I,2019-06-10 00:00:00 +0000,8552893.18
"","","",2018,N00040815,Mick Rich (R),Mick Rich Contractors,11900,0,11900,1,C,2019-06-10 00:00:00 +0000,961619.05
"","","",2018,N00040815,Mick Rich (R),Santo Petroleum,10900,0,10900,2,C,2019-06-10 00:00:00 +0000,961619.05
"","","",2018,N00040815,Mick Rich (R),Mountain States Crane LLC,10800,0,10800,3,C,2019-06-10 00:00:00 +0000,961619.05
"",D000000187,"",2018,N00040815,Mick Rich (R),Associated Builders & Contractors,0,10000,10000,4,C,2019-06-10 00:00:00 +0000,961619.05
"","","",2018,N00040815,Mick Rich (R),Yates Legacy Foundation,8200,0,8200,5,C,2019-06-10 00:00:00 +0000,961619.05
"","","",2018,N00040815,Mick Rich (R),High Desert Roofing,8000,0,8000,6,C,2019-06-10 00:00:00 +0000,961619.05
"","","",2018,N00040815,Mick Rich (R),Commercial Enterprises,6950,0,6950,7,C,2019-06-10 00:00:00 +0000,961619.05
"","","",2018,N00040815,Mick Rich (R),Eagle Rock Contracting,6400,0,6400,8,C,2019-06-10 00:00:00 +0000,961619.05
"","","",2018,N00040815,Mick Rich (R),Alliance Fire Protection,6000,0,6000,9,C,2019-06-10 00:00:00 +0000,961619.05
