affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000288,"",2020,N00029303,Jeff Merkley (D),League of Conservation Voters,49252,5095,54347,1,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000036412,"",2020,N00029303,Jeff Merkley (D),Oregon Health & Science University,33922,0,33922,2,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000037815,"",2020,N00029303,Jeff Merkley (D),State of Oregon,31085,0,31085,3,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000036414,"",2020,N00029303,Jeff Merkley (D),Oregon State University,21692,0,21692,4,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000000077,"",2020,N00029303,Jeff Merkley (D),Service Employees International Union,10035,10000,20035,5,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000030683,"",2020,N00029303,Jeff Merkley (D),University of Oregon,19173,0,19173,6,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000000333,"",2020,N00029303,Jeff Merkley (D),"Kleiner, Perkins et al",16800,0,16800,7,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000000804,"",2020,N00029303,Jeff Merkley (D),Intel Corp,16113,0,16113,8,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000000461,"",2020,N00029303,Jeff Merkley (D),Comcast Corp,11374,0,11374,9,I,2021-03-22 00:00:00 +0000,11298422.37
"","","",2020,N00029303,Jeff Merkley (D),Blue Basin Beef,11200,0,11200,10,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000031759,"",2020,N00029303,Jeff Merkley (D),Bad Robot Productions,11200,0,11200,11,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000035137,"",2020,N00029303,Jeff Merkley (D),Klein Financial,11200,0,11200,12,I,2021-03-22 00:00:00 +0000,11298422.37
"","","",2020,N00029303,Jeff Merkley (D),Moga Investments,11200,0,11200,13,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000033273,"",2020,N00029303,Jeff Merkley (D),"Draper, Fisher & Jurvetson",11200,0,11200,14,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000030300,"",2020,N00029303,Jeff Merkley (D),Teaching Strategies Inc,11200,0,11200,15,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000046101,"",2020,N00029303,Jeff Merkley (D),United Group,11200,0,11200,16,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000034986,"",2020,N00029303,Jeff Merkley (D),Kaiser Permanente,11150,0,11150,17,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000000064,"",2020,N00029303,Jeff Merkley (D),National Education Assn,1099,10000,11099,18,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000000061,"",2020,N00029303,Jeff Merkley (D),American Federation of State/Cnty/Munic Employees,985,10000,10985,19,I,2021-03-22 00:00:00 +0000,11298422.37
"",D000000084,"",2020,N00029303,Jeff Merkley (D),National Assn of Letter Carriers,160,10000,10160,20,I,2021-03-22 00:00:00 +0000,11298422.37
"","",C00448373,2020,N00035512,Jo Rae Perkins (R),Huck PAC,0,5000,5000,1,C,2021-03-22 00:00:00 +0000,139936.41
"","","",2020,N00035512,Jo Rae Perkins (R),Frank E Polehn Orchards,3000,0,3000,2,C,2021-03-22 00:00:00 +0000,139936.41
"","","",2020,N00035512,Jo Rae Perkins (R),Conrose Inc,2700,0,2700,3,C,2021-03-22 00:00:00 +0000,139936.41
"","","",2020,N00035512,Jo Rae Perkins (R),Crook County,2700,0,2700,4,C,2021-03-22 00:00:00 +0000,139936.41
"","","",2020,N00035512,Jo Rae Perkins (R),Coos County Republican Central Cmte,2429,0,2429,5,C,2021-03-22 00:00:00 +0000,139936.41
"","","",2020,N00035512,Jo Rae Perkins (R),It Management Corp,2000,0,2000,6,C,2021-03-22 00:00:00 +0000,139936.41
"","","",2020,N00035512,Jo Rae Perkins (R),Douglas County Republican Central Commit,1500,0,1500,7,C,2021-03-22 00:00:00 +0000,139936.41
"",D000023883,"",2020,N00035512,Jo Rae Perkins (R),Amazon.com,1220,0,1220,8,C,2021-03-22 00:00:00 +0000,139936.41
"","","",2020,N00035512,Jo Rae Perkins (R),Blitz Digital Group,1000,0,1000,9,C,2021-03-22 00:00:00 +0000,139936.41
"","","",2020,N00035512,Jo Rae Perkins (R),Helix Mwr,1000,0,1000,10,C,2021-03-22 00:00:00 +0000,139936.41
"","","",2020,N00045467,Ibrahim Taher (3),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
"","","",2020,N00047842,Gary Dye (L),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
