affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000104,"",2020,N00000362,Jack Reed (D),Lockheed Martin,47800,7000,54800,1,I,2021-03-22 00:00:00 +0000,4000208.83
"","",C00338087,2020,N00000362,Jack Reed (D),L3Harris Technologies,39625,5000,44625,2,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000000165,"",2020,N00000362,Jack Reed (D),General Dynamics,25525,4000,29525,3,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000000128,"",2020,N00000362,Jack Reed (D),Walt Disney Co                          ,23491,0,23491,4,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000000317,"",2020,N00000362,Jack Reed (D),General Atomics,13650,9000,22650,5,I,2021-03-22 00:00:00 +0000,4000208.83
"","","",2020,N00000362,Jack Reed (D),Century 21 Department Stores,20000,0,20000,6,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000000077,"",2020,N00000362,Jack Reed (D),Service Employees International Union,7500,10000,17500,7,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000000461,"",2020,N00000362,Jack Reed (D),Comcast Corp,6600,10000,16600,8,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000000344,"",2020,N00000362,Jack Reed (D),Greenberg Traurig LLP,11400,5000,16400,9,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000035181,"",2020,N00000362,Jack Reed (D),"Kramer, Levin et al",14000,0,14000,10,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000000126,"",2020,N00000362,Jack Reed (D),AFLAC Inc,5600,8000,13600,11,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000000135,"",2020,N00000362,Jack Reed (D),International Assn of Fire Fighters,0,12500,12500,12,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000025214,"",2020,N00000362,Jack Reed (D),CVS Health,2000,10000,12000,13,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000000369,"",2020,N00000362,Jack Reed (D),Leidos Inc,1500,10000,11500,14,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000025328,"",2020,N00000362,Jack Reed (D),Democracy Engine,11200,0,11200,15,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000067782,"",2020,N00000362,Jack Reed (D),Lyft Inc,11200,0,11200,16,I,2021-03-22 00:00:00 +0000,4000208.83
"","","",2020,N00000362,Jack Reed (D),Innovative Defense Technologies,11000,0,11000,17,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000021845,"",2020,N00000362,Jack Reed (D),Apollo Global Management,10900,0,10900,18,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000043616,"",2020,N00000362,Jack Reed (D),Bluestem Asset Management,10800,0,10800,19,I,2021-03-22 00:00:00 +0000,4000208.83
"","",C00097568,2020,N00000362,Jack Reed (D),Raytheon Technologies,3710,7000,10710,20,I,2021-03-22 00:00:00 +0000,4000208.83
"",D000035862,"",2020,N00040633,Allen Waters (R),Midland Energy,2800,0,2800,1,C,2021-03-22 00:00:00 +0000,29725.75
