affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000037367,"",2020,N00035187,Mike Rounds (R),Sanford Health,27250,0,27250,1,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000037819,"",2020,N00035187,Mike Rounds (R),State of South Dakota,23648,0,23648,2,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000066716,"",2020,N00035187,Mike Rounds (R),Rock Holdings,12700,10000,22700,3,I,2021-03-22 00:00:00 +0000,4756482.58
"","","",2020,N00035187,Mike Rounds (R),Avairpros,22400,0,22400,4,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000000487,"",2020,N00035187,Mike Rounds (R),US Bancorp,14115,6000,20115,5,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000000111,"",2020,N00035187,Mike Rounds (R),Amway/Alticor Inc,16800,0,16800,6,I,2021-03-22 00:00:00 +0000,4756482.58
"","","",2020,N00035187,Mike Rounds (R),Avera Health Systems                    ,15400,0,15400,7,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000021873,"",2020,N00035187,Mike Rounds (R),Blackstone Group                        ,15020,0,15020,8,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000021890,"",2020,N00035187,Mike Rounds (R),Capital Group Companies,9400,5000,14400,9,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000024380,"",2020,N00035187,Mike Rounds (R),Blessey Marine Service,9150,5000,14150,10,I,2021-03-22 00:00:00 +0000,4756482.58
"","","",2020,N00035187,Mike Rounds (R),Black Hills Harley-Davidson,13200,0,13200,11,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000000087,"",2020,N00035187,Mike Rounds (R),American Bankers Assn,3025,10000,13025,12,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000069202,"",2020,N00035187,Mike Rounds (R),Cboe Global Markets,3000,10000,13000,13,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000000309,"",2020,N00035187,Mike Rounds (R),Mortgage Bankers Assn,2700,10000,12700,14,I,2021-03-22 00:00:00 +0000,4756482.58
"","","",2020,N00035187,Mike Rounds (R),Daktronics Inc,12600,0,12600,15,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000000085,"",2020,N00035187,Mike Rounds (R),Goldman Sachs,7800,4500,12300,16,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000053995,"",2020,N00035187,Mike Rounds (R),Moyle Petroleum,11200,0,11200,17,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000028057,"",2020,N00035187,Mike Rounds (R),Nucor Corp                              ,11200,0,11200,18,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000035605,"",2020,N00035187,Mike Rounds (R),Bernard Marcus Family Foundation,11200,0,11200,19,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000000098,"",2020,N00035187,Mike Rounds (R),Ernst & Young,1000,10000,11000,20,I,2021-03-22 00:00:00 +0000,4756482.58
"",D000067823,"",2020,N00045593,Dan Ahlers (D),Alphabet Inc,6633,0,6633,1,C,2021-03-22 00:00:00 +0000,273832.8
"",D000000069,"",2020,N00045593,Dan Ahlers (D),International Brotherhood of Electrical Workers,0,5000,5000,2,C,2021-03-22 00:00:00 +0000,273832.8
"","","",2020,N00045593,Dan Ahlers (D),Tim Johnson for South Dakota,0,4000,4000,3,C,2021-03-22 00:00:00 +0000,273832.8
"",D000024233,"",2020,N00045593,Dan Ahlers (D),"Baker, Donelson et al",3804,0,3804,4,C,2021-03-22 00:00:00 +0000,273832.8
"","","",2020,N00045593,Dan Ahlers (D),Live on Stage,3800,0,3800,5,C,2021-03-22 00:00:00 +0000,273832.8
"",D000037367,"",2020,N00045593,Dan Ahlers (D),Sanford Health,2275,0,2275,6,C,2021-03-22 00:00:00 +0000,273832.8
"","","",2020,N00045593,Dan Ahlers (D),Usda,2158,0,2158,7,C,2021-03-22 00:00:00 +0000,273832.8
"","","",2020,N00045593,Dan Ahlers (D),United Airlines Holdings,2104,0,2104,8,C,2021-03-22 00:00:00 +0000,273832.8
"","","",2020,N00045593,Dan Ahlers (D),Way Trust,2000,0,2000,9,C,2021-03-22 00:00:00 +0000,273832.8
"",D000000115,"",2020,N00045593,Dan Ahlers (D),Microsoft Corp,1786,0,1786,10,C,2021-03-22 00:00:00 +0000,273832.8
"",D000030671,"",2020,N00045593,Dan Ahlers (D),University of Michigan,1526,0,1526,11,C,2021-03-22 00:00:00 +0000,273832.8
"","","",2020,N00045593,Dan Ahlers (D),Protech Engineering & Mfg,1500,0,1500,12,C,2021-03-22 00:00:00 +0000,273832.8
"","","",2020,N00045593,Dan Ahlers (D),Augustana University,1355,0,1355,13,C,2021-03-22 00:00:00 +0000,273832.8
"","","",2020,N00045593,Dan Ahlers (D),Fall River County Democrats,1250,0,1250,14,C,2021-03-22 00:00:00 +0000,273832.8
