affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000615,"",2020,N00002097,Mark Warner (D),"Wachtell, Lipton et al                  ",100451,0,100451,1,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000021845,"",2020,N00002097,Mark Warner (D),Apollo Global Management,64553,0,64553,2,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000085,"",2020,N00002097,Mark Warner (D),Goldman Sachs,43400,6000,49400,3,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000023883,"",2020,N00002097,Mark Warner (D),Amazon.com,44896,4000,48896,4,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000162,"",2020,N00002097,Mark Warner (D),"Akin, Gump et al",39682,4024,43706,5,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000021942,"",2020,N00002097,Mark Warner (D),Covington & Burling,41496,0,41496,6,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000662,"",2020,N00002097,Mark Warner (D),WPP Group,33200,5050,38250,7,I,2021-03-22 00:00:00 +0000,17233035.58
"","",C00386524,2020,N00002097,Mark Warner (D),Truist Financial,26295,10000,36295,8,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000022099,"",2020,N00002097,Mark Warner (D),MasterCard Inc,31205,5000,36205,9,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000464,"",2020,N00002097,Mark Warner (D),Sullivan & Cromwell,35865,0,35865,10,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000064813,"",2020,N00002097,Mark Warner (D),Huntington Ingalls Industries,35763,0,35763,11,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000106,"",2020,N00002097,Mark Warner (D),Morgan Stanley,30610,5000,35610,12,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000769,"",2020,N00002097,Mark Warner (D),"Paul, Weiss et al                       ",35345,0,35345,13,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000131,"",2020,N00002097,Mark Warner (D),Deloitte LLP,30017,3000,33017,14,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000032786,"",2020,N00002097,Mark Warner (D),Commonwealth of Virginia                ,31568,0,31568,15,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000786,"",2020,N00002097,Mark Warner (D),Accenture,23860,7000,30860,16,I,2021-03-22 00:00:00 +0000,17233035.58
"","",C00678870,2020,N00002097,Mark Warner (D),Windem                                            ,30800,0,30800,17,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000109,"",2020,N00002097,Mark Warner (D),Blue Cross/Blue Shield,12233,18500,30733,18,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000461,"",2020,N00002097,Mark Warner (D),Comcast Corp,21630,8500,30130,19,I,2021-03-22 00:00:00 +0000,17233035.58
"",D000000115,"",2020,N00002097,Mark Warner (D),Microsoft Corp,22619,7500,30119,20,I,2021-03-22 00:00:00 +0000,17233035.58
