affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000022122,"",2018,N00000528,Bernie Sanders (I),Moveon.org,849,15000,15849,1,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000000143,"",2018,N00000528,Bernie Sanders (I),American Postal Workers Union,5005,10000,15005,2,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000000084,"",2018,N00000528,Bernie Sanders (I),National Assn of Letter Carriers,0,15000,15000,3,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000000077,"",2018,N00000528,Bernie Sanders (I),Service Employees International Union,5444,5000,10444,4,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000000075,"",2018,N00000528,Bernie Sanders (I),Communications Workers of America,141,10000,10141,5,I,2019-06-10 00:00:00 +0000,11795105.61
"","","",2018,N00000528,Bernie Sanders (I),America Works,0,10000,10000,6,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000000083,"",2018,N00000528,Bernie Sanders (I),American Federation of Teachers,0,10000,10000,6,I,2019-06-10 00:00:00 +0000,11795105.61
"","",C00605410,2018,N00000528,Bernie Sanders (I),Climate Champions PAC,0,10000,10000,6,I,2019-06-10 00:00:00 +0000,11795105.61
"","","",2018,N00000528,Bernie Sanders (I),Fearless for the People,0,10000,10000,6,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000000178,"",2018,N00000528,Bernie Sanders (I),Transport Workers Union,0,10000,10000,6,I,2019-06-10 00:00:00 +0000,11795105.61
D000022008,D000067823,"",2018,N00000528,Bernie Sanders (I),Google Inc,9815,0,9815,11,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000030671,"",2018,N00000528,Bernie Sanders (I),University of Michigan,8981,0,8981,12,I,2019-06-10 00:00:00 +0000,11795105.61
D000022511,D000000406,"",2018,N00000528,Bernie Sanders (I),University of California/Berkeley,8103,0,8103,13,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000030737,"",2018,N00000528,Bernie Sanders (I),US Postal Service,7418,0,7418,14,I,2019-06-10 00:00:00 +0000,11795105.61
"","","",2018,N00000528,Bernie Sanders (I),Dept of Children & Family Services,7400,0,7400,15,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000021927,"",2018,N00000528,Bernie Sanders (I),Columbia University,7302,0,7302,16,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000030667,"",2018,N00000528,Bernie Sanders (I),University of Maryland,7299,0,7299,17,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000000064,"",2018,N00000528,Bernie Sanders (I),National Education Assn,103,7000,7103,18,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000000100,"",2018,N00000528,Bernie Sanders (I),Boeing Co,6298,0,6298,19,I,2019-06-10 00:00:00 +0000,11795105.61
"",D000000406,"",2018,N00000528,Bernie Sanders (I),University of California,6119,0,6119,20,I,2019-06-10 00:00:00 +0000,11795105.61
D000038102,D000030736,"",2018,N00043676,Lawrence Zupan (R),US Navy Reserve,2700,0,2700,1,C,2019-06-10 00:00:00 +0000,167747.01
"","","",2018,N00043676,Lawrence Zupan (R),Cic Vt,2500,0,2500,2,C,2019-06-10 00:00:00 +0000,167747.01
"","","",2018,N00043676,Lawrence Zupan (R),American International Enterprises,1000,0,1000,3,C,2019-06-10 00:00:00 +0000,167747.01
"","","",2018,N00043676,Lawrence Zupan (R),P&E Properties,1000,0,1000,3,C,2019-06-10 00:00:00 +0000,167747.01
"","","",2018,N00043676,Lawrence Zupan (R),Shop Keeper,1000,0,1000,3,C,2019-06-10 00:00:00 +0000,167747.01
"",D000057546,"",2018,N00043676,Lawrence Zupan (R),Texas State University,1000,0,1000,3,C,2019-06-10 00:00:00 +0000,167747.01
"","","",2018,N00043705,Brad Joseph Peacock (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,5864.0
"","","",2018,N00043970,Reid Kane (3),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043971,Russell Beste (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043972,Bruce Busa (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043973,Edward Gilbert Jr (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
