affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000028985,"",2022,N00032546,Ron Johnson (R),Senate Conservatives Fund,51146,10000,61146,1,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000031260,"",2022,N00032546,Ron Johnson (R),Abc Supply,29200,0,29200,2,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000031657,"",2022,N00032546,Ron Johnson (R),Ashley Furniture,29000,0,29000,3,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000036976,"",2022,N00032546,Ron Johnson (R),Rdv Corp,29000,0,29000,4,I,2022-10-28 00:00:00 +0000,31562985.18
"","","",2022,N00032546,Ron Johnson (R),Archer Auto Group,26567,0,26567,5,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000027574,"",2022,N00032546,Ron Johnson (R),Michels Corp,25899,0,25899,6,I,2022-10-28 00:00:00 +0000,31562985.18
"","","",2022,N00032546,Ron Johnson (R),Klondike Cheese,23200,0,23200,7,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000066716,"",2022,N00032546,Ron Johnson (R),Rock Holdings,12900,10000,22900,8,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000030599,"",2022,N00032546,Ron Johnson (R),Uline Inc,20550,0,20550,9,I,2022-10-28 00:00:00 +0000,31562985.18
"","","",2022,N00032546,Ron Johnson (R),Ortho Molecular Products,18700,0,18700,10,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000032027,"",2022,N00032546,Ron Johnson (R),Bobby Cox Companies,17600,0,17600,11,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000000106,"",2022,N00032546,Ron Johnson (R),Morgan Stanley,17572,0,17572,12,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000036995,"",2022,N00032546,Ron Johnson (R),Red Apple Group,17400,0,17400,13,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000061745,"",2022,N00032546,Ron Johnson (R),Hunt Companies,17400,0,17400,14,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000035197,"",2022,N00032546,Ron Johnson (R),KSL Capital Partners,17399,0,17399,15,I,2022-10-28 00:00:00 +0000,31562985.18
"","","",2022,N00032546,Ron Johnson (R),Central Oregon Community College,17000,0,17000,16,I,2022-10-28 00:00:00 +0000,31562985.18
"","","",2022,N00032546,Ron Johnson (R),Rts Inc,17000,0,17000,17,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000068062,"",2022,N00032546,Ron Johnson (R),Hendricks Holding Co,17000,0,17000,18,I,2022-10-28 00:00:00 +0000,31562985.18
"","","",2022,N00032546,Ron Johnson (R),Se,16249,0,16249,19,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000070000,"",2022,N00032546,Ron Johnson (R),Advocate Aurora Health,15945,0,15945,20,I,2022-10-28 00:00:00 +0000,31562985.18
"",D000030698,"",2022,N00049033,Mandela Barnes (D),University of Wisconsin                 ,185775,0,185775,1,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000067823,"",2022,N00049033,Mandela Barnes (D),Alphabet Inc,87196,0,87196,2,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000000406,"",2022,N00049033,Mandela Barnes (D),University of California                ,58094,0,58094,3,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000033486,"",2022,N00049033,Mandela Barnes (D),Epic Systems,53550,0,53550,4,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000021754,"",2022,N00049033,Mandela Barnes (D),Apple Inc,41275,0,41275,5,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000000115,"",2022,N00049033,Mandela Barnes (D),Microsoft Corp,40270,0,40270,6,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000070000,"",2022,N00049033,Mandela Barnes (D),Advocate Aurora Health,36718,0,36718,7,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000035768,"",2022,N00049033,Mandela Barnes (D),Medical College of Wisconsin,36521,0,36521,8,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000037827,"",2022,N00049033,Mandela Barnes (D),State of Wisconsin,34407,0,34407,9,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000000750,"",2022,N00049033,Mandela Barnes (D),Stanford University,26655,0,26655,10,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000023883,"",2022,N00049033,Mandela Barnes (D),Amazon.com,26187,0,26187,11,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000059893,"",2022,N00049033,Mandela Barnes (D),Dentons,22100,0,22100,12,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000052457,"",2022,N00049033,Mandela Barnes (D),J Street,21205,0,21205,13,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000000720,"",2022,N00049033,Mandela Barnes (D),IBM Corp,20112,0,20112,14,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000022098,"",2022,N00049033,Mandela Barnes (D),Massachusetts Institute of Technology,20037,0,20037,15,C,2022-10-28 00:00:00 +0000,34594005.690000005
"","","",2022,N00049033,Mandela Barnes (D),Ryan Inc Central,18750,0,18750,16,C,2022-10-28 00:00:00 +0000,34594005.690000005
"","",C00719393,2022,N00049033,Mandela Barnes (D),Warner Brothers Discovery,18100,0,18100,17,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000036277,"",2022,N00049033,Mandela Barnes (D),Northwestern University,17726,0,17726,18,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000032055,"",2022,N00049033,Mandela Barnes (D),Boston Consulting Group,17250,0,17250,19,C,2022-10-28 00:00:00 +0000,34594005.690000005
"",D000000812,"",2022,N00049033,Mandela Barnes (D),State of California,17219,0,17219,20,C,2022-10-28 00:00:00 +0000,34594005.690000005
"","","",2022,N00046143,Samuel D'Amico (I),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00048652,Scott Aubart (I),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
