affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000022003,"",2020,N00009771,Shelley Moore Capito (R),GEO Group,36000,10000,46000,1,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000000531,"",2020,N00009771,Shelley Moore Capito (R),FirstEnergy Corp,39300,5000,44300,2,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000021972,"",2020,N00009771,Shelley Moore Capito (R),Elliott Management,31500,0,31500,3,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000034833,"",2020,N00009771,Shelley Moore Capito (R),Jennmar Corp,28000,0,28000,4,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000000535,"",2020,N00009771,Shelley Moore Capito (R),DISH Network,17050,10000,27050,5,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000000480,"",2020,N00009771,Shelley Moore Capito (R),Williams Companies,16800,9000,25800,6,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000022158,"",2020,N00009771,Shelley Moore Capito (R),NorPAC,25500,0,25500,7,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000000464,"",2020,N00009771,Shelley Moore Capito (R),Sullivan & Cromwell,24700,0,24700,8,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000000350,"",2020,N00009771,Shelley Moore Capito (R),Delta Air Lines,18075,5000,23075,9,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"","",C00108209,2020,N00009771,Shelley Moore Capito (R),Dominion Energy,14600,7500,22100,10,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"","","",2020,N00009771,Shelley Moore Capito (R),Senior Star,19600,0,19600,11,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000036976,"",2020,N00009771,Shelley Moore Capito (R),RDV Corp,19500,0,19500,12,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000024670,"",2020,N00009771,Shelley Moore Capito (R),Centene Corp,16800,2500,19300,13,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000021873,"",2020,N00009771,Shelley Moore Capito (R),Blackstone Group,18400,0,18400,14,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000000090,"",2020,N00009771,Shelley Moore Capito (R),Bank of America,12000,5000,17000,15,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"","","",2020,N00009771,Shelley Moore Capito (R),Ornstein-Schuler Companies,16800,0,16800,16,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000000085,"",2020,N00009771,Shelley Moore Capito (R),Goldman Sachs,16000,0,16000,17,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000069920,"",2020,N00009771,Shelley Moore Capito (R),Contura Energy,5400,9999,15399,18,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"","","",2020,N00009771,Shelley Moore Capito (R),Blackstone,14000,0,14000,19,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000033503,"",2020,N00009771,Shelley Moore Capito (R),Ergon Inc,13800,0,13800,20,I,2021-03-22 00:00:00 +0000,5749614.5600000005
"",D000000406,"",2020,N00041293,Paula Jean Swearengin (D),University of California                ,17805,0,17805,1,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000067823,"",2020,N00041293,Paula Jean Swearengin (D),Alphabet Inc,17787,0,17787,2,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000021754,"",2020,N00041293,Paula Jean Swearengin (D),Apple Inc,10149,0,10149,3,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000035349,"",2020,N00041293,Paula Jean Swearengin (D),Levi Strauss & Co,9800,0,9800,4,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000021757,"",2020,N00041293,Paula Jean Swearengin (D),Berkshire Hathaway,8656,0,8656,5,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000030995,"",2020,N00041293,Paula Jean Swearengin (D),West Virginia University,8587,0,8587,6,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000036260,"",2020,N00041293,Paula Jean Swearengin (D),Northeastern University,8065,0,8065,7,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000030730,"",2020,N00041293,Paula Jean Swearengin (D),US Dept of Veterans Affairs,7369,0,7369,8,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000022297,"",2020,N00041293,Paula Jean Swearengin (D),University of Washington,6922,0,6922,9,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"","","",2020,N00041293,Paula Jean Swearengin (D),2u Inc,5768,0,5768,10,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000021767,"",2020,N00041293,Paula Jean Swearengin (D),National Amusements Inc,5670,0,5670,11,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"","","",2020,N00041293,Paula Jean Swearengin (D),Unit Crane,5600,0,5600,12,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"","","",2020,N00041293,Paula Jean Swearengin (D),Tech Mahindra Americas,5600,0,5600,13,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000030719,"",2020,N00041293,Paula Jean Swearengin (D),US Dept of Agriculture,5519,0,5519,14,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000021915,"",2020,N00041293,Paula Jean Swearengin (D),"City of New York, NY",5516,0,5516,15,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000000115,"",2020,N00041293,Paula Jean Swearengin (D),Microsoft Corp,5138,0,5138,16,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000000075,"",2020,N00041293,Paula Jean Swearengin (D),Communications Workers of America,45,5000,5045,17,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"","",C00692202,2020,N00041293,Paula Jean Swearengin (D),Courage to Change,0,5000,5000,18,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000030667,"",2020,N00041293,Paula Jean Swearengin (D),University of Maryland,4859,0,4859,19,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"",D000021927,"",2020,N00041293,Paula Jean Swearengin (D),Columbia University,4742,0,4742,20,C,2021-03-22 00:00:00 +0000,2045545.7899999998
"","","",2020,N00044995,F. Bruce Riley (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
