affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000028985,"",2020,N00029788,Cynthia Lummis (R),Senate Conservatives Fund,146748,0,146748,1,O,2021-03-22 00:00:00 +0000,2547032.92
"",D000000763,"",2020,N00029788,Cynthia Lummis (R),Club for Growth,139288,0,139288,2,O,2021-03-22 00:00:00 +0000,2547032.92
"","","",2020,N00029788,Cynthia Lummis (R),Sinclair Companies,14000,0,14000,3,O,2021-03-22 00:00:00 +0000,2547032.92
"",D000000015,"",2020,N00029788,Cynthia Lummis (R),Chevron Corp,0,12500,12500,4,O,2021-03-22 00:00:00 +0000,2547032.92
"",D000037349,"",2020,N00029788,Cynthia Lummis (R),San Francisco Giants,11200,0,11200,5,O,2021-03-22 00:00:00 +0000,2547032.92
"",D000000206,"",2020,N00029788,Cynthia Lummis (R),Occidental Petroleum,500,10000,10500,6,O,2021-03-22 00:00:00 +0000,2547032.92
"",D000000129,"",2020,N00029788,Cynthia Lummis (R),Exxon Mobil,26,10000,10026,7,O,2021-03-22 00:00:00 +0000,2547032.92
"","","",2020,N00029788,Cynthia Lummis (R),Common Values PAC,0,10000,10000,8,O,2021-03-22 00:00:00 +0000,2547032.92
"",D000000136,"",2020,N00029788,Cynthia Lummis (R),Credit Union National Assn,0,10000,10000,9,O,2021-03-22 00:00:00 +0000,2547032.92
"","","",2020,N00029788,Cynthia Lummis (R),Continuing America's Strength & Security,0,10000,10000,10,O,2021-03-22 00:00:00 +0000,2547032.92
"","","",2020,N00029788,Cynthia Lummis (R),Freedom Fund,0,10000,10000,11,O,2021-03-22 00:00:00 +0000,2547032.92
"","","",2020,N00029788,Cynthia Lummis (R),Fund for a Conservative Future,0,10000,10000,12,O,2021-03-22 00:00:00 +0000,2547032.92
"",D000024850,"",2020,N00029788,Cynthia Lummis (R),Citizens United,0,10000,10000,13,O,2021-03-22 00:00:00 +0000,2547032.92
"","",C00543207,2020,N00029788,Cynthia Lummis (R),Badlands PAC,0,10000,10000,14,O,2021-03-22 00:00:00 +0000,2547032.92
"","","",2020,N00029788,Cynthia Lummis (R),Alamo PAC,0,10000,10000,15,O,2021-03-22 00:00:00 +0000,2547032.92
"","","",2020,N00029788,Cynthia Lummis (R),Bluegrass Cmte,0,10000,10000,16,O,2021-03-22 00:00:00 +0000,2547032.92
"","","",2020,N00029788,Cynthia Lummis (R),Heartland Values PAC,0,10000,10000,17,O,2021-03-22 00:00:00 +0000,2547032.92
